path,kind,cos_bin,count
ceiling,pair,-0.2,0
ceiling,pair,-0.18,0
ceiling,pair,-0.16,0
ceiling,pair,-0.14,0
ceiling,pair,-0.12,0
ceiling,pair,-0.1,0
ceiling,pair,-0.08,0
ceiling,pair,-0.06,0
ceiling,pair,-0.04,0
ceiling,pair,-0.02,3
ceiling,pair,0.0,4
ceiling,pair,0.02,19
ceiling,pair,0.04,53
ceiling,pair,0.06,145
ceiling,pair,0.08,293
ceiling,pair,0.1,666
ceiling,pair,0.12,936
ceiling,pair,0.14,1044
ceiling,pair,0.16,883
ceiling,pair,0.18,530
ceiling,pair,0.2,268
ceiling,pair,0.22,104
ceiling,pair,0.24,36
ceiling,pair,0.26,13
ceiling,pair,0.28,2
ceiling,pair,0.3,1
ceiling,pair,0.32,0
ceiling,pair,0.34,0
ceiling,pair,0.36,0
ceiling,pair,0.38,0
ceiling,pair,0.4,0
ceiling,pair,0.42,0
ceiling,pair,0.44,0
ceiling,pair,0.46,0
ceiling,pair,0.48,0
ceiling,pair,0.5,0
ceiling,pair,0.52,0
ceiling,pair,0.54,0
ceiling,pair,0.56,0
ceiling,pair,0.58,0
ceiling,pair,0.6,0
ceiling,pair,0.62,0
ceiling,pair,0.64,0
ceiling,pair,0.66,0
ceiling,pair,0.68,0
ceiling,pair,0.7,0
ceiling,pair,0.72,0
ceiling,pair,0.74,0
ceiling,pair,0.76,0
ceiling,pair,0.78,0
ceiling,pair,0.8,0
ceiling,pair,0.82,0
ceiling,pair,0.84,0
ceiling,pair,0.86,0
ceiling,pair,0.88,0
ceiling,pair,0.9,0
ceiling,pair,0.92,0
ceiling,pair,0.94,0
ceiling,pair,0.96,0
ceiling,pair,0.98,0
ceiling,random,-0.2,5
ceiling,random,-0.18,28
ceiling,random,-0.16,97
ceiling,random,-0.14,263
ceiling,random,-0.12,514
ceiling,random,-0.1,722
ceiling,random,-0.08,845
ceiling,random,-0.06,834
ceiling,random,-0.04,669
ceiling,random,-0.02,429
ceiling,random,0.0,288
ceiling,random,0.02,145
ceiling,random,0.04,95
ceiling,random,0.06,31
ceiling,random,0.08,15
ceiling,random,0.1,8
ceiling,random,0.12,8
ceiling,random,0.14,1
ceiling,random,0.16,2
ceiling,random,0.18,1
ceiling,random,0.2,0
ceiling,random,0.22,0
ceiling,random,0.24,0
ceiling,random,0.26,0
ceiling,random,0.28,0
ceiling,random,0.3,0
ceiling,random,0.32,0
ceiling,random,0.34,0
ceiling,random,0.36,0
ceiling,random,0.38,0
ceiling,random,0.4,0
ceiling,random,0.42,0
ceiling,random,0.44,0
ceiling,random,0.46,0
ceiling,random,0.48,0
ceiling,random,0.5,0
ceiling,random,0.52,0
ceiling,random,0.54,0
ceiling,random,0.56,0
ceiling,random,0.58,0
ceiling,random,0.6,0
ceiling,random,0.62,0
ceiling,random,0.64,0
ceiling,random,0.66,0
ceiling,random,0.68,0
ceiling,random,0.7,0
ceiling,random,0.72,0
ceiling,random,0.74,0
ceiling,random,0.76,0
ceiling,random,0.78,0
ceiling,random,0.8,0
ceiling,random,0.82,0
ceiling,random,0.84,0
ceiling,random,0.86,0
ceiling,random,0.88,0
ceiling,random,0.9,0
ceiling,random,0.92,0
ceiling,random,0.94,0
ceiling,random,0.96,0
ceiling,random,0.98,0
distillation,pair,-0.2,0
distillation,pair,-0.18,0
distillation,pair,-0.16,0
distillation,pair,-0.14,0
distillation,pair,-0.12,0
distillation,pair,-0.1,0
distillation,pair,-0.08,0
distillation,pair,-0.06,1
distillation,pair,-0.04,3
distillation,pair,-0.02,12
distillation,pair,0.0,28
distillation,pair,0.02,76
distillation,pair,0.04,142
distillation,pair,0.06,351
distillation,pair,0.08,556
distillation,pair,0.1,951
distillation,pair,0.12,1063
distillation,pair,0.14,885
distillation,pair,0.16,572
distillation,pair,0.18,270
distillation,pair,0.2,76
distillation,pair,0.22,13
distillation,pair,0.24,1
distillation,pair,0.26,0
distillation,pair,0.28,0
distillation,pair,0.3,0
distillation,pair,0.32,0
distillation,pair,0.34,0
distillation,pair,0.36,0
distillation,pair,0.38,0
distillation,pair,0.4,0
distillation,pair,0.42,0
distillation,pair,0.44,0
distillation,pair,0.46,0
distillation,pair,0.48,0
distillation,pair,0.5,0
distillation,pair,0.52,0
distillation,pair,0.54,0
distillation,pair,0.56,0
distillation,pair,0.58,0
distillation,pair,0.6,0
distillation,pair,0.62,0
distillation,pair,0.64,0
distillation,pair,0.66,0
distillation,pair,0.68,0
distillation,pair,0.7,0
distillation,pair,0.72,0
distillation,pair,0.74,0
distillation,pair,0.76,0
