source,norm_bin,count
image,11.1407,1
image,11.2853,1
image,11.4298,0
image,11.5744,0
image,11.719,0
image,11.8635,1
image,12.0081,3
image,12.1527,3
image,12.2973,3
image,12.4418,4
image,12.5864,4
image,12.731,2
image,12.8756,3
image,13.0201,8
image,13.1647,7
image,13.3093,10
image,13.4538,13
image,13.5984,15
image,13.743,32
image,13.8876,29
image,14.0321,49
image,14.1767,56
image,14.3213,63
image,14.4659,77
image,14.6104,104
image,14.755,105
image,14.8996,110
image,15.0442,117
image,15.1887,141
image,15.3333,153
image,15.4779,203
image,15.6224,224
image,15.767,223
image,15.9116,245
image,16.0562,241
image,16.2007,267
image,16.3453,241
image,16.4899,239
image,16.6345,263
image,16.779,233
image,16.9236,220
image,17.0682,216
image,17.2127,204
image,17.3573,172
image,17.5019,148
image,17.6465,132
image,17.791,106
image,17.9356,85
image,18.0802,68
image,18.2248,37
image,18.3693,33
image,18.5139,24
image,18.6585,18
image,18.803,15
image,18.9476,11
image,19.0922,7
image,19.2368,6
image,19.3813,2
image,19.5259,1
image,19.6705,2
ceiling,20.0669,1
ceiling,20.5145,1
ceiling,20.962,1
ceiling,21.4096,6
ceiling,21.8571,9
ceiling,22.3047,14
ceiling,22.7522,18
ceiling,23.1998,56
ceiling,23.6474,96
ceiling,24.0949,166
ceiling,24.5425,206
ceiling,24.99,247
ceiling,25.4376,288
ceiling,25.8851,322
ceiling,26.3327,325
ceiling,26.7802,309
ceiling,27.2278,301
ceiling,27.6753,272
ceiling,28.1229,247
ceiling,28.5705,219
ceiling,29.018,233
ceiling,29.4656,216
ceiling,29.9131,191
ceiling,30.3607,169
ceiling,30.8082,173
ceiling,31.2558,137
ceiling,31.7033,134
ceiling,32.1509,109
ceiling,32.5984,81
ceiling,33.046,79
ceiling,33.4936,65
ceiling,33.9411,65
ceiling,34.3887,44
ceiling,34.8362,37
ceiling,35.2838,38
ceiling,35.7313,17
ceiling,36.1789,26
ceiling,36.6264,12
ceiling,37.074,8
ceiling,37.5215,9
ceiling,37.9691,7
ceiling,38.4166,6
ceiling,38.8642,4
ceiling,39.3118,2
ceiling,39.7593,2
ceiling,40.2069,3
ceiling,40.6544,4
ceiling,41.102,1
ceiling,41.5495,6
ceiling,41.9971,2
ceiling,42.4446,3
ceiling,42.8922,2
ceiling,43.3397,2
ceiling,43.7873,1
ceiling,44.2349,2
ceiling,44.6824,1
ceiling,45.13,3
ceiling,45.5775,0
ceiling,46.0251,0
ceiling,46.4726,2
distillation,1.0,1
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,58
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,1463
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,3421
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,0
distillation,1.0,57
head-adapt,1.0,93
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,1553
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,3254
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,0
head-adapt,1.0,100
