source,rank,singular_value,var_frac
image,0,10.862226,0.047244
image,1,9.107175,0.033211
image,2,8.751122,0.030665
image,3,7.879853,0.024863
image,4,7.265861,0.021139
image,5,7.10198,0.020196
image,6,6.807763,0.018558
image,7,6.699973,0.017975
image,8,6.252342,0.015653
image,9,6.069458,0.014751
image,10,5.870355,0.013799
image,11,5.613621,0.012618
image,12,5.50246,0.012123
image,13,5.431893,0.011815
image,14,5.280816,0.011166
image,15,5.144161,0.010596
image,16,5.125682,0.01052
image,17,4.981808,0.009938
image,18,4.858567,0.009452
image,19,4.795866,0.00921
image,20,4.660631,0.008698
image,21,4.53703,0.008242
image,22,4.478849,0.008032
image,23,4.419315,0.00782
image,24,4.358239,0.007606
image,25,4.248933,0.007229
image,26,4.209971,0.007097
image,27,4.136316,0.006851
image,28,4.113027,0.006774
image,29,4.015845,0.006458
image,30,3.917081,0.006144
image,31,3.904973,0.006106
image,32,3.8717,0.006002
image,33,3.827523,0.005866
image,34,3.797257,0.005774
image,35,3.745739,0.005618
image,36,3.725742,0.005558
image,37,3.682864,0.005431
image,38,3.654484,0.005348
image,39,3.614435,0.005231
image,40,3.59388,0.005172
image,41,3.552758,0.005054
image,42,3.506204,0.004923
image,43,3.484583,0.004862
image,44,3.457934,0.004788
image,45,3.407472,0.004649
image,46,3.381427,0.004578
image,47,3.287865,0.004329
image,48,3.269237,0.00428
image,49,3.234298,0.004189
image,50,3.211288,0.004129
image,51,3.187996,0.00407
image,52,3.137003,0.00394
image,53,3.124068,0.003908
image,54,3.086656,0.003815
image,55,3.078411,0.003795
image,56,3.052763,0.003732
image,57,3.028758,0.003673
image,58,2.987647,0.003574
image,59,2.961533,0.003512
image,60,2.959349,0.003507
image,61,2.925875,0.003428
image,62,2.904914,0.003379
image,63,2.880234,0.003322
image,64,2.872709,0.003304
image,65,2.850835,0.003254
image,66,2.83363,0.003215
image,67,2.818101,0.00318
image,68,2.811009,0.003164
image,69,2.765948,0.003063
image,70,2.755894,0.003041
image,71,2.736284,0.002998
image,72,2.706231,0.002933
image,73,2.703197,0.002926
image,74,2.690302,0.002898
image,75,2.677197,0.00287
image,76,2.662289,0.002838
image,77,2.648407,0.002809
image,78,2.633019,0.002776
image,79,2.609133,0.002726
image,80,2.593967,0.002694
image,81,2.583264,0.002672
image,82,2.556428,0.002617
image,83,2.529721,0.002562
image,84,2.520792,0.002544
image,85,2.503997,0.002511
image,86,2.488849,0.00248
image,87,2.479631,0.002462
image,88,2.458105,0.002419
image,89,2.438843,0.002382
image,90,2.432695,0.00237
image,91,2.417692,0.002341
image,92,2.403491,0.002313
image,93,2.400433,0.002307
image,94,2.38317,0.002274
image,95,2.369262,0.002248
image,96,2.365456,0.00224
image,97,2.344839,0.002202
image,98,2.342388,0.002197
image,99,2.338055,0.002189
image,100,2.322546,0.00216
image,101,2.312757,0.002142
image,102,2.306082,0.002129
image,103,2.284993,0.002091
image,104,2.277048,0.002076
image,105,2.272413,0.002068
image,106,2.261428,0.002048
image,107,2.252032,0.002031
image,108,2.242482,0.002014
image,109,2.231829,0.001995
image,110,2.219563,0.001973
image,111,2.212583,0.00196
image,112,2.20054,0.001939
image,113,2.193906,0.001927
image,114,2.173368,0.001891
image,115,2.164624,0.001876
image,116,2.160006,0.001868
image,117,2.154749,0.001859
image,118,2.147427,0.001847
image,119,2.135555,0.001826
image,120,2.124723,0.001808
image,121,2.117154,0.001795
image,122,2.112857,0.001788
image,123,2.102407,0.00177
image,124,2.090726,0.00175
image,125,2.085523,0.001742
image,126,2.0763,0.001726
image,127,2.068853,0.001714
image,128,2.053179,0.001688
image,129,2.043799,0.001673
image,130,2.038405,0.001664
image,131,2.03723,0.001662
