path,absz_bin,count
image,0.0,114470
image,0.000878,114265
image,0.001756,114358
image,0.002634,113757
image,0.003512,114458
image,0.004391,113007
image,0.005269,113039
image,0.006147,111960
image,0.007025,111084
image,0.007903,110797
image,0.008781,109970
image,0.009659,108400
image,0.010537,107901
image,0.011416,106768
image,0.012294,105595
image,0.013172,104547
image,0.01405,103112
image,0.014928,101922
image,0.015806,99780
image,0.016684,98215
image,0.017562,97123
image,0.018441,95543
image,0.019319,93954
image,0.020197,92498
image,0.021075,91107
image,0.021953,89251
image,0.022831,87388
image,0.023709,85213
image,0.024587,83418
image,0.025466,81698
image,0.026344,79674
image,0.027222,77625
image,0.0281,75421
image,0.028978,74338
image,0.029856,72012
image,0.030734,70087
image,0.031612,68018
image,0.03249,66223
image,0.033369,64100
image,0.034247,62321
image,0.035125,60143
image,0.036003,58456
image,0.036881,56364
image,0.037759,54643
image,0.038637,52453
image,0.039515,50749
image,0.040394,49085
image,0.041272,46981
image,0.04215,44995
image,0.043028,44053
image,0.043906,42066
image,0.044784,40239
image,0.045662,38566
image,0.04654,36890
image,0.047419,35429
image,0.048297,33785
image,0.049175,32703
image,0.050053,31122
image,0.050931,29710
image,0.051809,28413
image,0.052687,27007
image,0.053565,25565
image,0.054443,24590
image,0.055322,23296
image,0.0562,22012
image,0.057078,21165
image,0.057956,19950
image,0.058834,18886
image,0.059712,17955
image,0.06059,16970
image,0.061468,15969
image,0.062347,15297
image,0.063225,14240
image,0.064103,13446
image,0.064981,12827
image,0.065859,12014
image,0.066737,11272
image,0.067615,10719
image,0.068493,10015
image,0.069372,9350
image,0.07025,8820
image,0.071128,8360
image,0.072006,7830
image,0.072884,7434
image,0.073762,6938
image,0.07464,6328
image,0.075518,5879
image,0.076397,5748
image,0.077275,5269
image,0.078153,4825
image,0.079031,4436
image,0.079909,4193
image,0.080787,3924
image,0.081665,3638
image,0.082543,3400
image,0.083421,3147
image,0.0843,2895
image,0.085178,2752
image,0.086056,2478
image,0.086934,2299
image,frac_below_0.001,0.02545
image,frac_below_0.005,0.12687
image,frac_below_0.01,0.25063
image,frac_below_0.02,0.47716
image,frac_below_0.05,0.89063
ceiling,0.0,112294
ceiling,0.000872,113023
ceiling,0.001744,113188
ceiling,0.002616,112832
ceiling,0.003489,112154
ceiling,0.004361,112513
ceiling,0.005233,111988
ceiling,0.006105,110979
ceiling,0.006977,110367
ceiling,0.007849,109641
ceiling,0.008721,108787
ceiling,0.009594,108247
ceiling,0.010466,106776
ceiling,0.011338,105996
ceiling,0.01221,104579
ceiling,0.013082,103770
ceiling,0.013954,102840
ceiling,0.014826,100541
ceiling,0.015699,100165
ceiling,0.016571,98223
ceiling,0.017443,96807
