path,stage,val_bin,count
image,sliced,-0.317986,4318
image,sliced,-0.310053,5103
image,sliced,-0.30212,5717
image,sliced,-0.294187,6538
image,sliced,-0.286255,7590
image,sliced,-0.278322,8665
image,sliced,-0.270389,10016
image,sliced,-0.262456,11217
image,sliced,-0.254523,13176
image,sliced,-0.24659,15017
image,sliced,-0.238657,17109
image,sliced,-0.230724,19534
image,sliced,-0.222791,21942
image,sliced,-0.214859,24712
image,sliced,-0.206926,27644
image,sliced,-0.198993,31067
image,sliced,-0.19106,35175
image,sliced,-0.183127,39744
image,sliced,-0.175194,43433
image,sliced,-0.167261,48205
image,sliced,-0.159328,53218
image,sliced,-0.151396,58786
image,sliced,-0.143463,64233
image,sliced,-0.13553,70090
image,sliced,-0.127597,76447
image,sliced,-0.119664,83463
image,sliced,-0.111731,88960
image,sliced,-0.103798,94964
image,sliced,-0.095865,101850
image,sliced,-0.087932,107974
image,sliced,-0.08,113141
image,sliced,-0.072067,119237
image,sliced,-0.064134,124102
image,sliced,-0.056201,129440
image,sliced,-0.048268,133883
image,sliced,-0.040335,137635
image,sliced,-0.032402,140442
image,sliced,-0.024469,143954
image,sliced,-0.016537,144677
image,sliced,-0.008604,145964
image,sliced,-0.000671,145984
image,sliced,0.007262,145185
image,sliced,0.015195,143187
image,sliced,0.023128,141228
image,sliced,0.031061,137576
image,sliced,0.038994,134502
image,sliced,0.046926,129607
image,sliced,0.054859,125456
image,sliced,0.062792,119797
image,sliced,0.070725,114742
image,sliced,0.078658,108150
image,sliced,0.086591,102004
image,sliced,0.094524,95306
image,sliced,0.102457,89777
image,sliced,0.11039,83014
image,sliced,0.118322,76294
image,sliced,0.126255,70488
image,sliced,0.134188,65061
image,sliced,0.142121,59198
image,sliced,0.150054,53528
image,sliced,0.157987,48592
image,sliced,0.16592,43804
image,sliced,0.173853,39915
image,sliced,0.181785,35642
image,sliced,0.189718,31734
image,sliced,0.197651,28374
image,sliced,0.205584,25245
image,sliced,0.213517,22163
image,sliced,0.22145,19562
image,sliced,0.229383,17248
image,sliced,0.237316,14928
image,sliced,0.245249,13237
image,sliced,0.253181,11852
image,sliced,0.261114,10054
image,sliced,0.269047,8743
image,sliced,0.27698,7782
image,sliced,0.284913,6529
image,sliced,0.292846,5664
image,sliced,0.300779,4937
image,sliced,0.308712,4329
image,bn,-2.478988,4892
image,bn,-2.417052,5727
image,bn,-2.355115,6673
image,bn,-2.293178,7626
image,bn,-2.231241,8986
image,bn,-2.169304,10237
image,bn,-2.107368,11753
image,bn,-2.045431,13328
image,bn,-1.983494,15532
image,bn,-1.921557,17339
image,bn,-1.85962,19748
image,bn,-1.797684,22473
image,bn,-1.735747,25703
image,bn,-1.67381,28348
image,bn,-1.611873,31649
image,bn,-1.549936,35775
image,bn,-1.488,39815
image,bn,-1.426063,43838
image,bn,-1.364126,48315
image,bn,-1.302189,52932
image,bn,-1.240252,57663
image,bn,-1.178316,62923
image,bn,-1.116379,68067
image,bn,-1.054442,73605
image,bn,-0.992505,78644
image,bn,-0.930568,84702
image,bn,-0.868632,89579
image,bn,-0.806695,95443
image,bn,-0.744758,100976
image,bn,-0.682821,105861
image,bn,-0.620884,110937
image,bn,-0.558948,115422
image,bn,-0.497011,119609
image,bn,-0.435074,123421
image,bn,-0.373137,126616
image,bn,-0.3112,129321
image,bn,-0.249264,131944
image,bn,-0.187327,134223
image,bn,-0.12539,135614
image,bn,-0.063453,135461
image,bn,-0.001516,135793
image,bn,0.06042,135353
image,bn,0.122357,133892
image,bn,0.184294,132321
image,bn,0.246231,130265
image,bn,0.308168,127174
image,bn,0.370104,123703
image,bn,0.432041,119567
image,bn,0.493978,115528
image,bn,0.555915,110512
image,bn,0.617852,106156
image,bn,0.679788,101222
image,bn,0.741725,95640
image,bn,0.803662,90351
image,bn,0.865599,84928
image,bn,0.927536,79834
image,bn,0.989472,74222
image,bn,1.051409,68213
image,bn,1.113346,63091
image,bn,1.175283,57775
image,bn,1.23722,52834
image,bn,1.299156,48388
image,bn,1.361093,43605
image,bn,1.42303,40084
image,bn,1.484967,35865
image,bn,1.546904,31956
image,bn,1.60884,28609
image,bn,1.670777,25396
image,bn,1.732714,22598
image,bn,1.794651,20191
image,bn,1.856588,18039
image,bn,1.918524,15635
image,bn,1.980461,13564
image,bn,2.042398,11910
image,bn,2.104335,10195
image,bn,2.166272,8937
image,bn,2.228208,7658
image,bn,2.290145,6597
image,bn,2.352082,5685
image,bn,2.414019,4794
image,z,-0.080489,5221
image,z,-0.078475,6167
image,z,-0.076461,7143
image,z,-0.074447,8527
image,z,-0.072433,9671
image,z,-0.070419,11114
image,z,-0.068405,12740
image,z,-0.066391,14624
image,z,-0.064377,16725
image,z,-0.062363,19021
image,z,-0.060349,21524
image,z,-0.058335,24396
image,z,-0.056321,27326
image,z,-0.054307,30637
image,z,-0.052293,34238
image,z,-0.050279,38060
image,z,-0.048265,42046
image,z,-0.046251,46201
image,z,-0.044237,50715
image,z,-0.042223,55441
image,z,-0.040209,60084
image,z,-0.038195,64861
image,z,-0.036181,70194
image,z,-0.034167,75150
image,z,-0.032153,80107
image,z,-0.030139,84950
image,z,-0.028125,90692
image,z,-0.026111,95361
