path,group,bits,r10_drop,full_r10
ceiling,0,0-63,0.02,79.92
ceiling,1,64-127,0.12,79.92
ceiling,2,128-191,-0.08,79.92
ceiling,3,192-255,0.3,79.92
ceiling,4,256-319,0.3,79.92
ceiling,5,320-383,0.26,79.92
ceiling,6,384-447,0.48,79.92
ceiling,7,448-511,0.34,79.92
ceiling,8,512-575,0.02,79.92
ceiling,9,576-639,0.12,79.92
ceiling,10,640-703,0.14,79.92
ceiling,11,704-767,0.08,79.92
ceiling,12,768-831,0.02,79.92
ceiling,13,832-895,0.14,79.92
ceiling,14,896-959,0.18,79.92
ceiling,15,960-1023,0.1,79.92
distillation,0,0-63,0.12,70.86
distillation,1,64-127,0.44,70.86
distillation,2,128-191,0.3,70.86
distillation,3,192-255,0.18,70.86
distillation,4,256-319,0.46,70.86
distillation,5,320-383,0.24,70.86
distillation,6,384-447,0.46,70.86
distillation,7,448-511,0.3,70.86
distillation,8,512-575,0.18,70.86
distillation,9,576-639,0.3,70.86
distillation,10,640-703,0.46,70.86
distillation,11,704-767,-0.06,70.86
distillation,12,768-831,0.4,70.86
distillation,13,832-895,0.34,70.86
distillation,14,896-959,0.44,70.86
distillation,15,960-1023,0.12,70.86
head-adapt,0,0-63,0.26,74.0
head-adapt,1,64-127,0.4,74.0
head-adapt,2,128-191,0.18,74.0
head-adapt,3,192-255,0.16,74.0
head-adapt,4,256-319,0.28,74.0
head-adapt,5,320-383,0.18,74.0
head-adapt,6,384-447,0.24,74.0
head-adapt,7,448-511,0.02,74.0
head-adapt,8,512-575,-0.16,74.0
head-adapt,9,576-639,0.14,74.0
head-adapt,10,640-703,0.0,74.0
head-adapt,11,704-767,0.16,74.0
head-adapt,12,768-831,0.0,74.0
head-adapt,13,832-895,0.1,74.0
head-adapt,14,896-959,0.02,74.0
head-adapt,15,960-1023,-0.02,74.0
