path,kind,ham_bin,count
ceiling,pair,0,0
ceiling,pair,12,0
ceiling,pair,25,0
ceiling,pair,38,0
ceiling,pair,51,0
ceiling,pair,64,0
ceiling,pair,76,0
ceiling,pair,89,0
ceiling,pair,102,3
ceiling,pair,115,20
ceiling,pair,128,38
ceiling,pair,140,107
ceiling,pair,153,213
ceiling,pair,166,323
ceiling,pair,179,386
ceiling,pair,192,483
ceiling,pair,204,567
ceiling,pair,217,544
ceiling,pair,230,458
ceiling,pair,243,387
ceiling,pair,256,348
ceiling,pair,268,268
ceiling,pair,281,224
ceiling,pair,294,177
ceiling,pair,307,122
ceiling,pair,320,85
ceiling,pair,332,60
ceiling,pair,345,51
ceiling,pair,358,33
ceiling,pair,371,21
ceiling,pair,384,16
ceiling,pair,396,17
ceiling,pair,409,11
ceiling,pair,422,6
ceiling,pair,435,3
ceiling,pair,448,4
ceiling,pair,460,3
ceiling,pair,473,0
ceiling,pair,486,4
ceiling,pair,499,6
ceiling,pair,512,2
ceiling,pair,524,5
ceiling,pair,537,2
ceiling,pair,550,0
ceiling,pair,563,1
ceiling,pair,576,2
ceiling,pair,588,0
ceiling,pair,601,0
ceiling,pair,614,0
ceiling,pair,627,0
ceiling,pair,640,0
ceiling,pair,652,0
ceiling,pair,665,0
ceiling,pair,678,0
ceiling,pair,691,0
ceiling,pair,704,0
ceiling,pair,716,0
ceiling,pair,729,0
ceiling,pair,742,0
ceiling,pair,755,0
ceiling,pair,768,0
ceiling,pair,780,0
ceiling,pair,793,0
ceiling,pair,806,0
ceiling,pair,819,0
ceiling,pair,832,0
ceiling,pair,844,0
ceiling,pair,857,0
ceiling,pair,870,0
ceiling,pair,883,0
ceiling,pair,896,0
ceiling,pair,908,0
ceiling,pair,921,0
ceiling,pair,934,0
ceiling,pair,947,0
ceiling,pair,960,0
ceiling,pair,972,0
ceiling,pair,985,0
ceiling,pair,998,0
ceiling,pair,1011,0
ceiling,nearest_wrong,0,0
ceiling,nearest_wrong,12,0
ceiling,nearest_wrong,25,0
ceiling,nearest_wrong,38,0
ceiling,nearest_wrong,51,0
ceiling,nearest_wrong,64,0
ceiling,nearest_wrong,76,1
ceiling,nearest_wrong,89,0
ceiling,nearest_wrong,102,3
ceiling,nearest_wrong,115,7
ceiling,nearest_wrong,128,37
ceiling,nearest_wrong,140,106
ceiling,nearest_wrong,153,202
ceiling,nearest_wrong,166,366
ceiling,nearest_wrong,179,443
ceiling,nearest_wrong,192,621
ceiling,nearest_wrong,204,649
ceiling,nearest_wrong,217,624
ceiling,nearest_wrong,230,541
ceiling,nearest_wrong,243,423
ceiling,nearest_wrong,256,325
ceiling,nearest_wrong,268,277
ceiling,nearest_wrong,281,183
ceiling,nearest_wrong,294,89
ceiling,nearest_wrong,307,52
ceiling,nearest_wrong,320,13
ceiling,nearest_wrong,332,8
ceiling,nearest_wrong,345,5
ceiling,nearest_wrong,358,7
ceiling,nearest_wrong,371,7
ceiling,nearest_wrong,384,11
ceiling,nearest_wrong,396,0
ceiling,nearest_wrong,409,0
ceiling,nearest_wrong,422,0
ceiling,nearest_wrong,435,0
ceiling,nearest_wrong,448,0
ceiling,nearest_wrong,460,0
ceiling,nearest_wrong,473,0
ceiling,nearest_wrong,486,0
ceiling,nearest_wrong,499,0
ceiling,nearest_wrong,512,0
ceiling,nearest_wrong,524,0
ceiling,nearest_wrong,537,0
ceiling,nearest_wrong,550,0
ceiling,nearest_wrong,563,0
ceiling,nearest_wrong,576,0
ceiling,nearest_wrong,588,0
ceiling,nearest_wrong,601,0
ceiling,nearest_wrong,614,0
ceiling,nearest_wrong,627,0
ceiling,nearest_wrong,640,0
ceiling,nearest_wrong,652,0
ceiling,nearest_wrong,665,0
ceiling,nearest_wrong,678,0
ceiling,nearest_wrong,691,0
ceiling,nearest_wrong,704,0
ceiling,nearest_wrong,716,0
ceiling,nearest_wrong,729,0
ceiling,nearest_wrong,742,0
ceiling,nearest_wrong,755,0
ceiling,nearest_wrong,768,0
ceiling,nearest_wrong,780,0
ceiling,nearest_wrong,793,0
ceiling,nearest_wrong,806,0
ceiling,nearest_wrong,819,0
ceiling,nearest_wrong,832,0
ceiling,nearest_wrong,844,0
ceiling,nearest_wrong,857,0
ceiling,nearest_wrong,870,0
ceiling,nearest_wrong,883,0
ceiling,nearest_wrong,896,0
ceiling,nearest_wrong,908,0
ceiling,nearest_wrong,921,0
ceiling,nearest_wrong,934,0
ceiling,nearest_wrong,947,0
ceiling,nearest_wrong,960,0
ceiling,nearest_wrong,972,0
ceiling,nearest_wrong,985,0
ceiling,nearest_wrong,998,0
ceiling,nearest_wrong,1011,0
ceiling,gap(nwrong-pair),-512,0
ceiling,gap(nwrong-pair),-499,0
ceiling,gap(nwrong-pair),-486,0
ceiling,gap(nwrong-pair),-473,0
ceiling,gap(nwrong-pair),-460,0
ceiling,gap(nwrong-pair),-448,0
ceiling,gap(nwrong-pair),-435,0
ceiling,gap(nwrong-pair),-422,0
ceiling,gap(nwrong-pair),-409,0
ceiling,gap(nwrong-pair),-396,0
ceiling,gap(nwrong-pair),-384,0
ceiling,gap(nwrong-pair),-371,0
ceiling,gap(nwrong-pair),-358,0
ceiling,gap(nwrong-pair),-345,0
ceiling,gap(nwrong-pair),-332,0
ceiling,gap(nwrong-pair),-320,0
ceiling,gap(nwrong-pair),-307,0
ceiling,gap(nwrong-pair),-294,0
ceiling,gap(nwrong-pair),-281,0
ceiling,gap(nwrong-pair),-268,0
ceiling,gap(nwrong-pair),-256,1
ceiling,gap(nwrong-pair),-243,0
ceiling,gap(nwrong-pair),-230,3
ceiling,gap(nwrong-pair),-217,4
ceiling,gap(nwrong-pair),-204,6
ceiling,gap(nwrong-pair),-192,16
ceiling,gap(nwrong-pair),-179,14
ceiling,gap(nwrong-pair),-166,24
ceiling,gap(nwrong-pair),-153,28
ceiling,gap(nwrong-pair),-140,33
ceiling,gap(nwrong-pair),-128,60
ceiling,gap(nwrong-pair),-115,95
ceiling,gap(nwrong-pair),-102,134
ceiling,gap(nwrong-pair),-89,187
ceiling,gap(nwrong-pair),-76,204
ceiling,gap(nwrong-pair),-64,300
ceiling,gap(nwrong-pair),-51,413
ceiling,gap(nwrong-pair),-38,425
ceiling,gap(nwrong-pair),-25,491
ceiling,gap(nwrong-pair),-12,462
ceiling,gap(nwrong-pair),0,458
ceiling,gap(nwrong-pair),12,434
ceiling,gap(nwrong-pair),25,334
ceiling,gap(nwrong-pair),38,266
ceiling,gap(nwrong-pair),51,195
ceiling,gap(nwrong-pair),64,163
ceiling,gap(nwrong-pair),76,118
ceiling,gap(nwrong-pair),89,64
ceiling,gap(nwrong-pair),102,39
ceiling,gap(nwrong-pair),115,14
ceiling,gap(nwrong-pair),128,11
ceiling,gap(nwrong-pair),140,2
ceiling,gap(nwrong-pair),153,0
ceiling,gap(nwrong-pair),166,1
ceiling,gap(nwrong-pair),179,1
ceiling,gap(nwrong-pair),192,0
ceiling,gap(nwrong-pair),204,0
ceiling,gap(nwrong-pair),217,0
ceiling,gap(nwrong-pair),230,0
ceiling,gap(nwrong-pair),243,0
ceiling,gap(nwrong-pair),256,0
ceiling,gap(nwrong-pair),268,0
ceiling,gap(nwrong-pair),281,0
ceiling,gap(nwrong-pair),294,0
ceiling,gap(nwrong-pair),307,0
ceiling,gap(nwrong-pair),320,0
ceiling,gap(nwrong-pair),332,0
ceiling,gap(nwrong-pair),345,0
ceiling,gap(nwrong-pair),358,0
ceiling,gap(nwrong-pair),371,0
ceiling,gap(nwrong-pair),384,0
ceiling,gap(nwrong-pair),396,0
ceiling,gap(nwrong-pair),409,0
ceiling,gap(nwrong-pair),422,0
ceiling,gap(nwrong-pair),435,0
ceiling,gap(nwrong-pair),448,0
ceiling,gap(nwrong-pair),460,0
ceiling,gap(nwrong-pair),473,0
ceiling,gap(nwrong-pair),486,0
ceiling,gap(nwrong-pair),499,0
distillation,pair,0,0
distillation,pair,12,0
distillation,pair,25,0
distillation,pair,38,0
distillation,pair,51,0
distillation,pair,64,0
distillation,pair,76,0
distillation,pair,89,0
distillation,pair,102,5
distillation,pair,115,12
distillation,pair,128,36
distillation,pair,140,75
distillation,pair,153,155
distillation,pair,166,277
distillation,pair,179,334
distillation,pair,192,431
distillation,pair,204,505
distillation,pair,217,506
distillation,pair,230,505
distillation,pair,243,417
distillation,pair,256,384
distillation,pair,268,342
distillation,pair,281,277
distillation,pair,294,184
distillation,pair,307,131
distillation,pair,320,122
distillation,pair,332,79
distillation,pair,345,56
distillation,pair,358,35
distillation,pair,371,32
distillation,pair,384,24
distillation,pair,396,14
distillation,pair,409,15
distillation,pair,422,11
distillation,pair,435,6
distillation,pair,448,5
distillation,pair,460,2
distillation,pair,473,6
distillation,pair,486,7
distillation,pair,499,2
distillation,pair,512,1
distillation,pair,524,4
distillation,pair,537,1
distillation,pair,550,1
distillation,pair,563,0
distillation,pair,576,1
distillation,pair,588,0
distillation,pair,601,0
distillation,pair,614,0
distillation,pair,627,0
distillation,pair,640,0
distillation,pair,652,0
distillation,pair,665,0
distillation,pair,678,0
distillation,pair,691,0
distillation,pair,704,0
distillation,pair,716,0
distillation,pair,729,0
distillation,pair,742,0
distillation,pair,755,0
distillation,pair,768,0
distillation,pair,780,0
distillation,pair,793,0
distillation,pair,806,0
distillation,pair,819,0
distillation,pair,832,0
distillation,pair,844,0
distillation,pair,857,0
distillation,pair,870,0
distillation,pair,883,0
distillation,pair,896,0
distillation,pair,908,0
distillation,pair,921,0
distillation,pair,934,0
distillation,pair,947,0
distillation,pair,960,0
distillation,pair,972,0
distillation,pair,985,0
distillation,pair,998,0
distillation,pair,1011,0
distillation,nearest_wrong,0,0
distillation,nearest_wrong,12,0
distillation,nearest_wrong,25,0
distillation,nearest_wrong,38,0
distillation,nearest_wrong,51,0
distillation,nearest_wrong,64,0
distillation,nearest_wrong,76,0
distillation,nearest_wrong,89,1
distillation,nearest_wrong,102,5
distillation,nearest_wrong,115,16
distillation,nearest_wrong,128,44
distillation,nearest_wrong,140,120
distillation,nearest_wrong,153,251
distillation,nearest_wrong,166,515
distillation,nearest_wrong,179,562
distillation,nearest_wrong,192,712
distillation,nearest_wrong,204,640
distillation,nearest_wrong,217,629
distillation,nearest_wrong,230,481
distillation,nearest_wrong,243,346
distillation,nearest_wrong,256,253
distillation,nearest_wrong,268,204
distillation,nearest_wrong,281,98
distillation,nearest_wrong,294,65
distillation,nearest_wrong,307,18
distillation,nearest_wrong,320,12
distillation,nearest_wrong,332,3
distillation,nearest_wrong,345,10
distillation,nearest_wrong,358,8
distillation,nearest_wrong,371,6
distillation,nearest_wrong,384,1
distillation,nearest_wrong,396,0
distillation,nearest_wrong,409,0
distillation,nearest_wrong,422,0
distillation,nearest_wrong,435,0
distillation,nearest_wrong,448,0
distillation,nearest_wrong,460,0
distillation,nearest_wrong,473,0
distillation,nearest_wrong,486,0
distillation,nearest_wrong,499,0
distillation,nearest_wrong,512,0
distillation,nearest_wrong,524,0
distillation,nearest_wrong,537,0
distillation,nearest_wrong,550,0
distillation,nearest_wrong,563,0
distillation,nearest_wrong,576,0
distillation,nearest_wrong,588,0
distillation,nearest_wrong,601,0
distillation,nearest_wrong,614,0
distillation,nearest_wrong,627,0
distillation,nearest_wrong,640,0
distillation,nearest_wrong,652,0
distillation,nearest_wrong,665,0
distillation,nearest_wrong,678,0
distillation,nearest_wrong,691,0
distillation,nearest_wrong,704,0
distillation,nearest_wrong,716,0
distillation,nearest_wrong,729,0
distillation,nearest_wrong,742,0
distillation,nearest_wrong,755,0
distillation,nearest_wrong,768,0
distillation,nearest_wrong,780,0
distillation,nearest_wrong,793,0
distillation,nearest_wrong,806,0
distillation,nearest_wrong,819,0
distillation,nearest_wrong,832,0
distillation,nearest_wrong,844,0
