path,bit,flip_frac
distillation,0,0.0846
distillation,1,0.0872
distillation,2,0.0904
distillation,3,0.079
distillation,4,0.0892
distillation,5,0.0862
distillation,6,0.0832
distillation,7,0.0796
distillation,8,0.1226
distillation,9,0.134
distillation,10,0.116
distillation,11,0.1116
distillation,12,0.1184
distillation,13,0.1284
distillation,14,0.124
distillation,15,0.1078
distillation,16,0.1294
distillation,17,0.1302
distillation,18,0.1346
distillation,19,0.128
distillation,20,0.1376
distillation,21,0.1356
distillation,22,0.1388
distillation,23,0.1314
distillation,24,0.1392
distillation,25,0.1294
distillation,26,0.1372
distillation,27,0.1322
distillation,28,0.1452
distillation,29,0.1286
distillation,30,0.1398
distillation,31,0.1368
distillation,32,0.1242
distillation,33,0.1174
distillation,34,0.1194
distillation,35,0.1426
distillation,36,0.1126
distillation,37,0.1284
distillation,38,0.1368
distillation,39,0.1212
distillation,40,0.1298
distillation,41,0.1312
distillation,42,0.1368
distillation,43,0.1282
distillation,44,0.1458
distillation,45,0.1368
distillation,46,0.124
distillation,47,0.1296
distillation,48,0.1256
distillation,49,0.1318
distillation,50,0.1286
distillation,51,0.1302
distillation,52,0.123
distillation,53,0.1302
distillation,54,0.0974
distillation,55,0.1288
distillation,56,0.1296
distillation,57,0.1472
distillation,58,0.126
distillation,59,0.1258
distillation,60,0.1318
distillation,61,0.1424
distillation,62,0.1094
distillation,63,0.1248
distillation,64,0.128
distillation,65,0.1214
distillation,66,0.11
distillation,67,0.1334
distillation,68,0.1188
distillation,69,0.1338
distillation,70,0.1252
distillation,71,0.124
distillation,72,0.1266
distillation,73,0.1288
distillation,74,0.126
distillation,75,0.146
distillation,76,0.1312
distillation,77,0.1352
distillation,78,0.1346
distillation,79,0.126
distillation,80,0.1336
distillation,81,0.128
distillation,82,0.1388
distillation,83,0.1156
distillation,84,0.124
distillation,85,0.1062
distillation,86,0.1502
distillation,87,0.1296
distillation,88,0.123
distillation,89,0.118
distillation,90,0.1216
distillation,91,0.1352
distillation,92,0.1064
distillation,93,0.109
distillation,94,0.1258
distillation,95,0.1374
distillation,96,0.132
distillation,97,0.1122
distillation,98,0.1286
distillation,99,0.1252
distillation,100,0.14
distillation,101,0.1338
distillation,102,0.1332
distillation,103,0.1042
distillation,104,0.1282
distillation,105,0.1458
distillation,106,0.1134
distillation,107,0.1488
distillation,108,0.1332
distillation,109,0.1222
distillation,110,0.1268
distillation,111,0.1484
distillation,112,0.1426
distillation,113,0.1382
distillation,114,0.1106
distillation,115,0.1252
distillation,116,0.1186
distillation,117,0.148
distillation,118,0.1192
distillation,119,0.1364
distillation,120,0.1174
distillation,121,0.1204
distillation,122,0.1348
distillation,123,0.1414
distillation,124,0.1368
distillation,125,0.1186
distillation,126,0.1444
distillation,127,0.1252
distillation,128,0.1292
distillation,129,0.141
distillation,130,0.119
distillation,131,0.119
distillation,132,0.1154
distillation,133,0.1356
distillation,134,0.1348
distillation,135,0.118
distillation,136,0.1374
distillation,137,0.1314
distillation,138,0.133
distillation,139,0.1332
distillation,140,0.1272
distillation,141,0.1032
distillation,142,0.1202
distillation,143,0.1362
distillation,144,0.1322
distillation,145,0.1352
distillation,146,0.1006
distillation,147,0.137
distillation,148,0.1228
distillation,149,0.1242
distillation,150,0.1122
distillation,151,0.1264
distillation,152,0.1192
distillation,153,0.1548
distillation,154,0.1208
distillation,155,0.1236
distillation,156,0.1268
distillation,157,0.1374
distillation,158,0.1266
distillation,159,0.1244
distillation,160,0.1242
distillation,161,0.1196
distillation,162,0.1436
distillation,163,0.1176
distillation,164,0.1508
distillation,165,0.1314
distillation,166,0.1278
distillation,167,0.1042
distillation,168,0.123
distillation,169,0.136
distillation,170,0.1292
distillation,171,0.1144
distillation,172,0.1314
distillation,173,0.1126
distillation,174,0.137
distillation,175,0.1432
distillation,176,0.1174
distillation,177,0.1454
distillation,178,0.1224
distillation,179,0.1398
distillation,180,0.1198
distillation,181,0.1124
distillation,182,0.1298
distillation,183,0.1156
distillation,184,0.1268
distillation,185,0.1374
distillation,186,0.113
distillation,187,0.1374
distillation,188,0.107
distillation,189,0.1262
distillation,190,0.1312
distillation,191,0.1176
distillation,192,0.1216
distillation,193,0.1286
distillation,194,0.1524
distillation,195,0.1152
distillation,196,0.1292
distillation,197,0.1334
distillation,198,0.1258
distillation,199,0.14
