path,absz_decile,absz_lo,absz_hi,flip_frac,n
distillation,1,0.0,0.00394,0.43742,512000
distillation,2,0.00394,0.00795,0.31792,511999
distillation,3,0.00795,0.01208,0.21916,512001
distillation,4,0.01208,0.01644,0.14365,512000
distillation,5,0.01644,0.02113,0.08913,512000
distillation,6,0.02113,0.02636,0.05219,512000
distillation,7,0.02636,0.03244,0.02891,512000
distillation,8,0.03244,0.04006,0.01394,512000
distillation,9,0.04006,0.05137,0.0056,512000
distillation,10,0.05137,0.16021,0.00123,512000
head-adapt,1,0.0,0.00396,0.45864,512000
head-adapt,2,0.00396,0.00798,0.37853,512000
head-adapt,3,0.00798,0.01214,0.30397,512000
head-adapt,4,0.01214,0.0165,0.23451,512000
head-adapt,5,0.0165,0.0212,0.17504,512000
head-adapt,6,0.0212,0.02643,0.12334,512000
head-adapt,7,0.02643,0.0325,0.08089,511999
head-adapt,8,0.0325,0.04014,0.04811,512001
head-adapt,9,0.04014,0.05142,0.02443,512000
head-adapt,10,0.05142,0.15656,0.00841,512000
