path,group,gap_bin,count
ceiling,success,-200,0
ceiling,success,-193,0
ceiling,success,-186,0
ceiling,success,-180,0
ceiling,success,-173,0
ceiling,success,-166,0
ceiling,success,-160,0
ceiling,success,-153,0
ceiling,success,-146,0
ceiling,success,-140,0
ceiling,success,-133,1
ceiling,success,-126,0
ceiling,success,-120,2
ceiling,success,-113,3
ceiling,success,-106,4
ceiling,success,-100,9
ceiling,success,-93,11
ceiling,success,-86,13
ceiling,success,-80,29
ceiling,success,-73,38
ceiling,success,-66,39
ceiling,success,-60,93
ceiling,success,-53,134
ceiling,success,-46,139
ceiling,success,-40,209
ceiling,success,-33,201
ceiling,success,-26,183
ceiling,success,-20,286
ceiling,success,-13,279
ceiling,success,-6,223
ceiling,success,0,256
ceiling,success,6,244
ceiling,success,13,209
ceiling,success,20,201
ceiling,success,26,185
ceiling,success,33,145
ceiling,success,40,152
ceiling,success,46,134
ceiling,success,53,106
ceiling,success,60,84
ceiling,success,66,87
ceiling,success,73,78
ceiling,success,80,65
ceiling,success,86,43
ceiling,success,93,31
ceiling,success,100,24
ceiling,success,106,19
ceiling,success,113,12
ceiling,success,120,10
ceiling,success,126,3
ceiling,success,133,7
ceiling,success,140,3
ceiling,success,146,0
ceiling,success,153,0
ceiling,success,160,0
ceiling,success,166,1
ceiling,success,173,0
ceiling,success,180,1
ceiling,success,186,0
ceiling,success,193,0
ceiling,fail,-200,6
ceiling,fail,-193,4
ceiling,fail,-186,9
ceiling,fail,-180,10
ceiling,fail,-173,7
ceiling,fail,-166,11
ceiling,fail,-160,13
ceiling,fail,-153,13
ceiling,fail,-146,15
ceiling,fail,-140,17
ceiling,fail,-133,28
ceiling,fail,-126,23
ceiling,fail,-120,36
ceiling,fail,-113,48
ceiling,fail,-106,45
ceiling,fail,-100,67
ceiling,fail,-93,73
ceiling,fail,-86,73
ceiling,fail,-80,66
ceiling,fail,-73,93
ceiling,fail,-66,74
ceiling,fail,-60,73
ceiling,fail,-53,71
ceiling,fail,-46,51
ceiling,fail,-40,38
ceiling,fail,-33,24
ceiling,fail,-26,6
ceiling,fail,-20,2
ceiling,fail,-13,0
ceiling,fail,-6,0
ceiling,fail,0,0
ceiling,fail,6,0
ceiling,fail,13,0
ceiling,fail,20,0
ceiling,fail,26,0
ceiling,fail,33,0
ceiling,fail,40,0
ceiling,fail,46,0
ceiling,fail,53,0
ceiling,fail,60,0
ceiling,fail,66,0
ceiling,fail,73,0
