bit,flip_frac
0,0.0058
1,0.007
2,0.0078
3,0.0062
4,0.0064
5,0.0084
6,0.0074
7,0.0054
8,0.0086
9,0.0078
10,0.008
11,0.0068
12,0.0078
13,0.011
14,0.0082
15,0.008
16,0.0064
17,0.0078
18,0.0086
19,0.0076
20,0.009
21,0.0136
22,0.0106
23,0.0084
24,0.0094
25,0.0072
26,0.011
27,0.0094
28,0.0096
29,0.0084
30,0.0122
31,0.0086
32,0.0088
33,0.0074
34,0.0094
35,0.008
36,0.0084
37,0.0072
38,0.0086
39,0.0078
40,0.0094
41,0.0088
42,0.0094
43,0.0082
44,0.0088
45,0.008
46,0.0084
47,0.0084
48,0.0076
49,0.0084
50,0.009
51,0.0096
52,0.0102
53,0.006
54,0.0044
55,0.0086
56,0.0088
57,0.0108
58,0.0082
59,0.0074
60,0.008
61,0.0068
62,0.0084
63,0.0092
64,0.0086
65,0.0096
66,0.0082
67,0.01
68,0.009
69,0.0096
70,0.008
71,0.0076
72,0.011
73,0.007
74,0.0082
75,0.0108
76,0.0078
77,0.0098
78,0.0082
79,0.0066
80,0.0082
81,0.0066
82,0.0094
83,0.0088
84,0.006
85,0.0068
86,0.0106
87,0.0112
88,0.0096
89,0.0078
90,0.0088
91,0.0072
92,0.0082
93,0.0094
94,0.01
95,0.0096
96,0.0098
97,0.0102
98,0.0088
99,0.0068
100,0.0102
101,0.0108
102,0.0092
103,0.0074
104,0.0104
105,0.0094
106,0.0082
107,0.0092
108,0.0082
109,0.0084
110,0.0074
111,0.0106
112,0.0088
113,0.0086
114,0.0054
115,0.0084
116,0.0064
117,0.0114
118,0.0082
119,0.009
120,0.0056
121,0.0076
122,0.0076
123,0.0102
124,0.0092
125,0.0078
126,0.0094
127,0.0092
128,0.0084
129,0.0118
130,0.0082
131,0.008
132,0.0098
133,0.0092
134,0.0104
135,0.0086
136,0.01
137,0.0066
138,0.0082
139,0.0088
140,0.009
141,0.007
142,0.007
143,0.0096
144,0.0092
145,0.0122
146,0.0068
147,0.0106
148,0.0082
149,0.0078
150,0.01
151,0.011
152,0.0078
153,0.013
154,0.0088
155,0.009
156,0.007
157,0.0072
158,0.0074
159,0.0076
160,0.0084
161,0.0082
162,0.0122
163,0.0066
164,0.0132
165,0.0072
166,0.0066
167,0.0084
168,0.0112
169,0.01
170,0.0086
171,0.0098
172,0.0068
173,0.0078
174,0.0134
175,0.0078
176,0.0094
177,0.0076
178,0.0098
179,0.0096
180,0.0076
181,0.0068
182,0.009
183,0.0106
184,0.0086
185,0.0094
186,0.0086
187,0.0062
188,0.0076
189,0.0072
190,0.0072
191,0.009
192,0.0096
193,0.0084
194,0.0084
195,0.008
196,0.008
197,0.0106
198,0.0086
199,0.0104
200,0.0076
201,0.0084
202,0.0074
203,0.0086
204,0.008
205,0.008
206,0.0064
207,0.0062
208,0.0066
209,0.0074
210,0.0086
211,0.014
212,0.0092
213,0.0058
214,0.009
215,0.0078
216,0.009
217,0.0094
218,0.0064
219,0.008
220,0.0068
221,0.0072
222,0.0062
223,0.0086
224,0.0082
225,0.0062
226,0.008
227,0.0064
228,0.0092
229,0.0088
230,0.008
231,0.009
232,0.0088
233,0.01
234,0.0098
235,0.0098
236,0.0098
237,0.01
238,0.0122
239,0.0104
240,0.006
241,0.009
242,0.0084
243,0.0062
244,0.0084
245,0.0082
246,0.0092
247,0.0082
248,0.0074
249,0.0092
250,0.0114
251,0.007
252,0.0066
253,0.0078
254,0.0102
255,0.0086
256,0.0094
257,0.0108
258,0.0098
259,0.0078
260,0.0114
261,0.0064
262,0.005
263,0.0078
264,0.0092
265,0.0102
266,0.0086
267,0.009
268,0.0088
269,0.007
270,0.0084
271,0.008
272,0.0088
273,0.0082
274,0.0068
275,0.0106
276,0.0082
277,0.008
278,0.0058
279,0.0094
280,0.0062
281,0.006
282,0.0118
283,0.0112
284,0.0082
285,0.0092
286,0.009
287,0.0082
288,0.0086
289,0.0094
290,0.0108
291,0.0078
292,0.0068
293,0.007
294,0.0118
295,0.0056
296,0.01
297,0.0088
298,0.009
299,0.0092
300,0.0092
301,0.007
302,0.0076
303,0.0068
304,0.0094
305,0.009
306,0.0064
307,0.0112
308,0.0102
309,0.0082
310,0.0092
311,0.0078
312,0.0106
313,0.0086
314,0.0108
315,0.0066
316,0.0086
317,0.0072
318,0.0064
319,0.0096
320,0.008
321,0.01
322,0.0088
323,0.012
324,0.009
325,0.009
326,0.0084
327,0.0098
328,0.0086
329,0.0092
330,0.0064
331,0.0116
332,0.0098
333,0.005
334,0.0082
335,0.0094
336,0.0064
337,0.0078
338,0.0068
339,0.0092
340,0.0078
341,0.0116
342,0.0076
343,0.008
344,0.008
345,0.0066
346,0.009
347,0.0086
348,0.0086
349,0.0072
350,0.0074
351,0.0078
352,0.01
353,0.0068
354,0.0092
355,0.0102
356,0.0088
357,0.008
358,0.0096
359,0.0082
360,0.0088
361,0.0072
362,0.0056
363,0.0072
364,0.007
365,0.0078
366,0.0106
367,0.008
368,0.0094
369,0.0088
370,0.0086
371,0.0088
372,0.0086
373,0.0084
374,0.0086
375,0.0098
376,0.007
377,0.008
378,0.009
379,0.0058
380,0.0076
381,0.0094
382,0.0076
383,0.0088
384,0.0108
385,0.0106
386,0.0108
387,0.0092
388,0.0068
389,0.0082
390,0.0078
391,0.0074
392,0.0072
393,0.0084
394,0.0068
395,0.0094
396,0.0078
397,0.0064
398,0.0072
399,0.0072
400,0.007
401,0.009
402,0.0072
403,0.0072
404,0.008
405,0.0088
406,0.0074
407,0.0086
408,0.0074
409,0.0086
410,0.009
411,0.008
412,0.0078
413,0.009
414,0.0106
415,0.0086
416,0.0096
417,0.01
418,0.0092
419,0.0058
420,0.0088
421,0.0096
422,0.0072
423,0.012
424,0.0078
425,0.0068
426,0.0092
427,0.008
428,0.0076
429,0.0086
430,0.0048
431,0.0084
432,0.0092
433,0.007
434,0.0044
435,0.0084
436,0.0088
437,0.0072
438,0.0048
439,0.0084
440,0.0076
441,0.0096
442,0.0058
443,0.009
444,0.0084
445,0.009
446,0.01
447,0.0098
448,0.0088
449,0.0086
450,0.0098
451,0.0082
452,0.0068
453,0.0084
454,0.0118
455,0.0056
456,0.0074
457,0.0078
458,0.0062
459,0.0094
460,0.0108
461,0.0076
462,0.0088
463,0.0062
464,0.01
465,0.011
466,0.0114
467,0.0074
468,0.01
469,0.0084
470,0.0096
471,0.0102
472,0.0098
473,0.0088
474,0.0104
475,0.0074
