lang,script,n_text,pair_hamming_med,pair_hamming_mean,r10
mi,non-latin,4732,505.0,499.4,1.71
quz,latin,7200,473.0,458.9,8.68
te,non-latin,7200,465.0,454.5,6.17
sw,latin,7046,394.0,393.8,22.01
bn,non-latin,3600,354.0,355.8,34.81
fil,latin,7109,330.0,337.6,40.08
hi,non-latin,8503,314.0,322.9,43.38
th,non-latin,7200,296.0,304.1,57.94
fi,latin,7127,277.0,286.6,69.93
zh,non-latin,7174,270.0,276.1,76.33
el,non-latin,7204,269.0,277.6,71.38
ja,non-latin,7185,269.0,277.5,74.91
hu,latin,7216,264.0,272.5,76.69
he,non-latin,7200,262.0,272.3,74.17
hr,latin,7280,257.0,265.1,77.38
ro,latin,7123,257.0,265.6,79.74
ar,non-latin,7367,254.0,261.5,77.25
tr,latin,7233,250.0,255.6,80.19
cs,latin,7207,248.0,254.4,80.2
uk,non-latin,7215,247.0,254.8,82.29
da,latin,7264,245.0,250.7,84.02
fa,non-latin,7245,245.0,251.1,82.9
no,latin,7213,244.0,249.6,85.05
pl,latin,7141,242.0,248.0,86.15
sv,latin,7273,242.0,248.2,85.04
nl,latin,8059,241.0,247.1,84.44
ko,non-latin,7650,240.0,245.9,83.84
en,latin,7200,238.0,244.0,81.69
pt,latin,7243,236.0,242.1,86.62
es,latin,8614,234.0,239.7,87.82
vi,latin,7350,234.0,238.1,90.23
it,latin,8471,233.0,236.6,91.55
id,latin,7126,231.0,234.8,90.96
ru,non-latin,7200,231.0,235.6,91.33
fr,latin,8562,228.0,232.3,91.46
de,latin,8643,227.0,232.0,92.63
