source,k,cum_var_frac
image,1,0.04724
image,2,0.08046
image,5,0.15712
image,10,0.24425
image,20,0.35549
image,50,0.5342
image,100,0.682
image,200,0.83114
image,500,0.97946
image,1024,0.99994
ceiling,1,0.06997
ceiling,2,0.10726
ceiling,5,0.1853
ceiling,10,0.26932
ceiling,20,0.37993
ceiling,50,0.56538
ceiling,100,0.72481
ceiling,200,0.86864
ceiling,500,0.98437
ceiling,1024,1.0
distillation,1,0.08506
distillation,2,0.14066
distillation,5,0.26146
distillation,10,0.38693
distillation,20,0.54561
distillation,50,0.79181
distillation,100,0.95813
distillation,200,0.99691
distillation,500,1.0
distillation,1024,1.0
