projected,onto_basis_of,k,energy_in_subspace_frac,residual_frac
distillation,ceiling,5,0.25654,0.74346
distillation,ceiling,10,0.37984,0.62016
distillation,ceiling,20,0.53396,0.46604
distillation,ceiling,50,0.76623,0.23377
distillation,ceiling,100,0.91373,0.08627
distillation,ceiling,200,0.97074,0.02926
ceiling,distillation,5,0.18191,0.81809
ceiling,distillation,10,0.26497,0.73503
ceiling,distillation,20,0.37267,0.62733
ceiling,distillation,50,0.54898,0.45102
ceiling,distillation,100,0.69437,0.30563
ceiling,distillation,200,0.79308,0.20692
image,ceiling,5,0.04779,0.95221
image,ceiling,10,0.08284,0.91716
image,ceiling,20,0.14394,0.85606
image,ceiling,50,0.2554,0.7446
image,ceiling,100,0.37233,0.62767
image,ceiling,200,0.52634,0.47366
