lang,script,r10,pair_ham_med,pair_ham_std,centroid_softham,code_bit_entropy,txtemb_effdim
mi,non-latin,1.71,505.0,53.6,513.19,668.1,37.3
te,non-latin,6.17,465.0,71.7,510.37,808.4,51.1
quz,latin,8.68,473.0,75.3,502.02,853.2,49.1
sw,latin,22.01,394.0,82.5,505.83,940.5,57.3
bn,non-latin,34.81,354.0,79.9,500.54,953.6,64.5
fil,latin,40.08,330.0,80.1,499.35,972.8,82.2
hi,non-latin,43.38,314.0,74.7,494.85,958.4,71.3
th,non-latin,57.94,296.0,67.0,497.26,959.1,81.1
fi,latin,69.93,277.0,64.1,500.91,986.7,67.0
el,non-latin,71.38,269.0,64.8,499.54,988.5,80.0
he,non-latin,74.17,262.0,62.8,496.78,989.9,81.7
ja,non-latin,74.91,269.0,61.1,498.05,987.8,80.4
zh,non-latin,76.33,270.0,56.9,500.46,991.5,83.5
hu,latin,76.69,264.0,61.0,499.44,990.3,77.2
ar,non-latin,77.25,254.0,56.3,495.82,988.2,70.5
hr,latin,77.38,257.0,57.4,497.37,993.4,76.5
ro,latin,79.74,257.0,57.4,500.27,997.0,80.2
tr,latin,80.19,250.0,53.4,496.07,990.4,80.3
cs,latin,80.2,248.0,51.9,497.41,988.5,64.9
en,latin,81.69,238.0,49.9,496.32,997.0,61.3
uk,non-latin,82.29,247.0,53.7,496.4,988.7,72.2
fa,non-latin,82.9,245.0,50.3,492.44,975.7,59.4
ko,non-latin,83.84,240.0,53.0,496.66,1004.3,89.4
da,latin,84.02,245.0,52.0,496.89,991.1,66.7
nl,latin,84.44,241.0,49.3,496.35,988.6,65.3
sv,latin,85.04,242.0,49.8,498.12,991.3,55.5
no,latin,85.05,244.0,50.0,497.13,990.6,75.3
pl,latin,86.15,242.0,47.9,497.59,985.0,80.4
pt,latin,86.62,236.0,47.8,498.01,994.3,70.6
es,latin,87.82,234.0,44.7,499.06,998.7,80.9
vi,latin,90.23,234.0,44.7,497.34,996.4,72.1
id,latin,90.96,231.0,42.5,497.17,997.0,73.6
ru,non-latin,91.33,231.0,43.7,495.94,987.4,77.9
fr,latin,91.46,228.0,42.8,497.83,999.7,83.7
it,latin,91.55,233.0,42.8,497.57,994.6,82.7
de,latin,92.63,227.0,42.8,495.99,994.5,93.0
