task,dataset,lang,bits,bytes_per_img,R10,mAP10,idx_mb_50k,latency_ms_50k
instance,coco,en,16,2,33.36,14.38,0.1,0.133
instance,coco,ko,16,2,20.22,7.89,0.1,0.133
instance,xm3600,avg36,16,2,13.14,5.41,0.1,0.133
instance,coco,en,32,4,53.8,27.29,0.2,0.0347
instance,coco,ko,32,4,34.9,15.77,0.2,0.0347
instance,xm3600,avg36,32,4,24.42,11.5,0.2,0.0347
instance,coco,en,64,8,67.3,38.95,0.4,0.0359
instance,coco,ko,64,8,47.64,23.16,0.4,0.0359
instance,xm3600,avg36,64,8,35.42,18.6,0.4,0.0359
instance,coco,en,128,16,74.36,45.04,0.8,0.0409
instance,coco,ko,128,16,54.14,28.75,0.8,0.0409
instance,xm3600,avg36,128,16,43.36,24.52,0.8,0.0409
instance,coco,en,256,32,77.68,49.36,1.6,0.0785
instance,coco,ko,256,32,59.5,33.17,1.6,0.0785
instance,xm3600,avg36,256,32,48.29,28.64,1.6,0.0785
instance,coco,en,512,64,79.48,52.08,3.2,0.1579
instance,coco,ko,512,64,62.08,35.1,3.2,0.1579
instance,xm3600,avg36,512,64,51.06,31.11,3.2,0.1579
instance,coco,en,1024,128,80.04,53.35,6.4,0.3757
instance,coco,ko,1024,128,63.24,36.22,6.4,0.3757
instance,xm3600,avg36,1024,128,52.64,32.63,6.4,0.3757
instance,coco,en,2048,256,80.9,54.27,12.8,0.6799
instance,coco,ko,2048,256,63.34,36.56,12.8,0.6799
instance,xm3600,avg36,2048,256,53.43,33.38,12.8,0.6799
instance,coco,en,4096,512,81.0,54.41,25.6,1.7993
instance,coco,ko,4096,512,63.52,36.83,25.6,1.7993
instance,xm3600,avg36,4096,512,53.81,33.78,25.6,1.7993
