task,dataset,lang,preproc,bits,bytes_per_img,R10,mAP10,idx_mb_50k,latency_ms_50k
instance,coco,en,orig,8,1,14.22,4.27,0.05,0.1139
instance,coco,en,lower,8,1,14.26,4.21,0.05,0.1139
instance,coco,ko,orig(caseless),8,1,9.64,2.76,0.05,0.1139
instance,xm3600,avg36,orig,8,1,6.38,2.17,0.05,0.1139
instance,xm3600,avg36,lower,8,1,7.47,2.53,0.05,0.1139
instance,coco,en,orig,16,2,33.84,14.97,0.1,0.1204
instance,coco,en,lower,16,2,34.46,15.1,0.1,0.1204
instance,coco,ko,orig(caseless),16,2,22.02,8.83,0.1,0.1204
instance,xm3600,avg36,orig,16,2,13.63,5.62,0.1,0.1204
instance,xm3600,avg36,lower,16,2,16.54,7.02,0.1,0.1204
instance,coco,en,orig,32,4,54.5,27.92,0.2,0.0325
instance,coco,en,lower,32,4,54.5,28.47,0.2,0.0325
instance,coco,ko,orig(caseless),32,4,34.34,16.0,0.2,0.0325
instance,xm3600,avg36,orig,32,4,24.56,11.56,0.2,0.0325
instance,xm3600,avg36,lower,32,4,29.9,14.61,0.2,0.0325
instance,coco,en,orig,64,8,67.46,38.78,0.4,0.0345
instance,coco,en,lower,64,8,68.02,38.96,0.4,0.0345
instance,coco,ko,orig(caseless),64,8,47.04,23.26,0.4,0.0345
instance,xm3600,avg36,orig,64,8,35.01,18.35,0.4,0.0345
instance,xm3600,avg36,lower,64,8,42.06,23.04,0.4,0.0345
instance,coco,en,orig,128,16,74.74,45.32,0.8,0.0319
instance,coco,en,lower,128,16,75.54,46.51,0.8,0.0319
instance,coco,ko,orig(caseless),128,16,55.28,28.99,0.8,0.0319
instance,xm3600,avg36,orig,128,16,42.99,24.17,0.8,0.0319
instance,xm3600,avg36,lower,128,16,50.73,29.96,0.8,0.0319
instance,coco,en,orig,256,32,78.0,49.46,1.6,0.0576
instance,coco,en,lower,256,32,78.44,50.49,1.6,0.0576
instance,coco,ko,orig(caseless),256,32,59.22,32.75,1.6,0.0576
instance,xm3600,avg36,orig,256,32,47.71,28.1,1.6,0.0576
instance,xm3600,avg36,lower,256,32,55.85,34.63,1.6,0.0576
instance,coco,en,orig,512,64,78.92,51.49,3.2,0.1518
instance,coco,en,lower,512,64,79.74,52.78,3.2,0.1518
instance,coco,ko,orig(caseless),512,64,61.62,34.58,3.2,0.1518
instance,xm3600,avg36,orig,512,64,50.49,30.6,3.2,0.1518
instance,xm3600,avg36,lower,512,64,58.78,37.54,3.2,0.1518
instance,coco,en,orig,1024,128,79.7,53.31,6.4,0.3294
instance,coco,en,lower,1024,128,80.64,54.64,6.4,0.3294
instance,coco,ko,orig(caseless),1024,128,62.84,35.88,6.4,0.3294
instance,xm3600,avg36,orig,1024,128,52.11,32.13,6.4,0.3294
instance,xm3600,avg36,lower,1024,128,60.37,39.3,6.4,0.3294
instance,coco,en,orig,2048,256,80.14,53.9,12.8,0.6671
instance,coco,en,lower,2048,256,81.36,55.18,12.8,0.6671
instance,coco,ko,orig(caseless),2048,256,63.46,36.18,12.8,0.6671
instance,xm3600,avg36,orig,2048,256,52.94,32.91,12.8,0.6671
instance,xm3600,avg36,lower,2048,256,61.17,40.18,12.8,0.6671
instance,coco,en,orig,4096,512,80.42,54.24,25.6,1.8348
instance,coco,en,lower,4096,512,81.08,55.49,25.6,1.8348
instance,coco,ko,orig(caseless),4096,512,63.32,36.32,25.6,1.8348
instance,xm3600,avg36,orig,4096,512,53.39,33.31,25.6,1.8348
instance,xm3600,avg36,lower,4096,512,61.59,40.63,25.6,1.8348
