table,row,lang,R1,R5,R10,mAP10,preproc
coco,so400m|server,EN,41.66,69.14,79.98,53.39,orig
coco,so400m|float_raw,EN,49.86,72.88,81.46,59.81,orig
coco,so400m|naive,EN,36.36,60.32,70.54,46.83,orig
coco,so400m|float_headcont,EN,42.76,70.56,80.54,54.65,orig
coco,so400m|server,EN,43.4,71.16,81.24,55.15,lower
coco,so400m|float_raw,EN,52.94,75.72,83.58,62.71,lower
coco,so400m|naive,EN,38.42,62.76,72.62,48.95,lower
coco,so400m|float_headcont,EN,44.58,72.22,81.86,56.47,lower
coco,so400m|server,KO,30.64,58.9,70.98,42.56,orig
coco,so400m|float_raw,KO,31.82,55.2,66.12,42.05,orig
coco,so400m|naive,KO,21.64,42.04,52.08,30.4,orig
coco,so400m|float_headcont,KO,32.38,60.64,71.98,44.31,orig
coco,so400m|server,KO,30.68,58.98,71.04,42.62,lower
coco,so400m|float_raw,KO,31.88,55.32,66.26,42.15,lower
coco,so400m|naive,KO,21.74,42.14,52.18,30.5,lower
coco,so400m|float_headcont,KO,32.42,60.72,72.02,44.37,lower
