bytes,method,repr,search_ops_per_pair,r1_en,r10_en,r1_ko,r10_ko,note
16,binary_head,128bit,128,33.24,74.02,23.74,63.42,
16,asym_binary,q-cont x 128bit,128,36.82,77.9,27.26,67.68,"search op = float x sign, not popcount"
16,fp16_headz,8d fp16,8,18.38,59.66,13.96,50.24,
16,fp16_pca,8d fp16,8,0.34,3.5,0.32,2.18,
16,int8_headz,16d int8,16,30.24,71.54,22.5,60.94,
16,int8_pca,16d int8,16,1.5,11.48,1.08,8.14,
16,pq,16x8bit (m=16),16,10.86,42.62,6.42,33.26,
32,binary_head,256bit,256,38.3,77.46,27.2,67.54,
32,asym_binary,q-cont x 256bit,256,40.52,79.38,29.78,69.9,"search op = float x sign, not popcount"
32,fp16_headz,16d fp16,16,30.26,71.64,22.52,61.06,
32,fp16_pca,16d fp16,16,1.56,11.64,1.14,8.24,
32,int8_headz,32d int8,32,39.3,78.1,29.12,68.42,
32,int8_pca,32d int8,32,7.04,32.34,4.12,20.18,
32,pq,32x8bit (m=32),32,20.04,56.58,12.78,42.74,
64,binary_head,512bit,512,39.98,78.84,29.7,69.7,
64,asym_binary,q-cont x 512bit,512,41.56,80.02,31.18,71.32,"search op = float x sign, not popcount"
64,fp16_headz,32d fp16,32,39.32,77.9,29.0,68.56,
64,fp16_pca,32d fp16,32,7.0,32.44,4.06,20.26,
64,int8_headz,64d int8,64,42.14,80.54,31.62,71.64,
64,int8_pca,64d int8,64,18.28,56.1,9.78,37.94,
64,pq,64x8bit (m=64),64,32.46,68.86,20.28,52.24,
128,binary_head,1024bit,1024,41.66,79.88,30.8,71.1,
128,asym_binary,q-cont x 1024bit,1024,42.12,80.54,31.6,71.66,"search op = float x sign, not popcount"
128,fp16_headz,64d fp16,64,42.14,80.54,31.88,71.68,
128,fp16_pca,64d fp16,64,18.16,56.2,9.84,37.92,
128,int8_headz,128d int8,128,42.34,80.36,31.7,72.12,
128,int8_pca,128d int8,128,30.86,71.64,16.54,50.26,
128,pq,128x8bit (m=128),128,42.04,75.76,25.6,60.32,
256,binary_head,2048bit,2048,,,,,N/A: head max 1024 bit (128 B)
256,fp16_headz,128d fp16,128,42.38,80.28,31.78,72.06,
256,fp16_pca,128d fp16,128,31.16,71.54,16.54,50.22,
256,int8_headz,256d int8,256,42.42,80.38,32.16,72.22,
256,int8_pca,256d int8,256,40.24,76.28,20.58,56.06,
256,pq,256x8bit (m=256),256,46.96,79.14,29.98,63.88,
