backbone,lang,direction,dim,bits_per_dim,total_bits,r10
so400m,en,T2I,2,32,64,0.34
so400m,en,T2I,4,32,128,1.02
so400m,en,T2I,8,32,256,3.58
so400m,en,T2I,16,32,512,16.34
so400m,en,T2I,32,32,1024,39.98
so400m,en,T2I,64,32,2048,63.16
so400m,en,T2I,128,32,4096,76.08
so400m,en,T2I,256,32,8192,79.92
so400m,en,T2I,512,32,16384,80.52
so400m,en,T2I,1024,32,32768,80.58
so400m,en,T2I,1152,32,36864,80.58
so400m,en,T2I,2,2,4,0.28
so400m,en,T2I,4,2,8,1.04
so400m,en,T2I,8,2,16,3.72
so400m,en,T2I,16,2,32,19.08
so400m,en,T2I,32,2,64,38.38
so400m,en,T2I,64,2,128,55.18
so400m,en,T2I,128,2,256,65.16
so400m,en,T2I,256,2,512,64.8
so400m,en,T2I,512,2,1024,54.84
so400m,en,T2I,1024,2,2048,15.38
so400m,en,T2I,1152,2,2304,11.12
so400m,en,T2I,2,1,2,0.3
so400m,en,T2I,4,1,4,0.58
so400m,en,T2I,8,1,8,2.44
so400m,en,T2I,16,1,16,9.8
so400m,en,T2I,32,1,32,20.78
so400m,en,T2I,64,1,64,35.52
so400m,en,T2I,128,1,128,46.16
so400m,en,T2I,256,1,256,48.66
so400m,en,T2I,512,1,512,37.94
so400m,en,T2I,1024,1,1024,6.6
so400m,en,T2I,1152,1,1152,4.22
so400m,en,I2T,2,32,64,0.2
so400m,en,I2T,4,32,128,0.5
so400m,en,I2T,8,32,256,1.1
so400m,en,I2T,16,32,512,3.64
so400m,en,I2T,32,32,1024,9.44
so400m,en,I2T,64,32,2048,19.0
so400m,en,I2T,128,32,4096,28.98
so400m,en,I2T,256,32,8192,36.22
so400m,en,I2T,512,32,16384,38.44
so400m,en,I2T,1024,32,32768,38.42
so400m,en,I2T,1152,32,36864,38.42
so400m,en,I2T,2,2,4,0.2
so400m,en,I2T,4,2,8,0.64
so400m,en,I2T,8,2,16,2.88
so400m,en,I2T,16,2,32,13.58
so400m,en,I2T,32,2,64,32.18
so400m,en,I2T,64,2,128,51.94
so400m,en,I2T,128,2,256,64.74
so400m,en,I2T,256,2,512,64.34
so400m,en,I2T,512,2,1024,53.6
so400m,en,I2T,1024,2,2048,15.56
so400m,en,I2T,1152,2,2304,11.12
so400m,en,I2T,2,1,2,0.26
so400m,en,I2T,4,1,4,0.52
so400m,en,I2T,8,1,8,2.38
so400m,en,I2T,16,1,16,8.84
so400m,en,I2T,32,1,32,19.02
so400m,en,I2T,64,1,64,34.08
so400m,en,I2T,128,1,128,45.76
so400m,en,I2T,256,1,256,48.88
so400m,en,I2T,512,1,512,37.88
so400m,en,I2T,1024,1,1024,6.48
so400m,en,I2T,1152,1,1152,4.28
siglip2-base,en,T2I,2,32,64,0.24
siglip2-base,en,T2I,4,32,128,0.9
siglip2-base,en,T2I,8,32,256,3.98
siglip2-base,en,T2I,16,32,512,16.6
siglip2-base,en,T2I,32,32,1024,37.68
siglip2-base,en,T2I,64,32,2048,61.72
siglip2-base,en,T2I,128,32,4096,73.1
siglip2-base,en,T2I,256,32,8192,77.48
siglip2-base,en,T2I,512,32,16384,77.98
siglip2-base,en,T2I,768,32,24576,77.96
siglip2-base,en,T2I,2,2,4,0.32
siglip2-base,en,T2I,4,2,8,0.88
siglip2-base,en,T2I,8,2,16,4.66
siglip2-base,en,T2I,16,2,32,16.62
siglip2-base,en,T2I,32,2,64,33.98
siglip2-base,en,T2I,64,2,128,52.66
siglip2-base,en,T2I,128,2,256,61.42
siglip2-base,en,T2I,256,2,512,60.56
siglip2-base,en,T2I,512,2,1024,46.32
siglip2-base,en,T2I,768,2,1536,24.76
siglip2-base,en,T2I,2,1,2,0.34
siglip2-base,en,T2I,4,1,4,0.58
siglip2-base,en,T2I,8,1,8,2.72
siglip2-base,en,T2I,16,1,16,8.64
siglip2-base,en,T2I,32,1,32,16.54
siglip2-base,en,T2I,64,1,64,31.62
siglip2-base,en,T2I,128,1,128,42.0
siglip2-base,en,T2I,256,1,256,42.58
siglip2-base,en,T2I,512,1,512,28.8
siglip2-base,en,T2I,768,1,768,12.4
siglip2-base,en,I2T,2,32,64,0.2
siglip2-base,en,I2T,4,32,128,0.44
siglip2-base,en,I2T,8,32,256,1.06
siglip2-base,en,I2T,16,32,512,2.24
siglip2-base,en,I2T,32,32,1024,4.68
siglip2-base,en,I2T,64,32,2048,8.58
siglip2-base,en,I2T,128,32,4096,12.7
siglip2-base,en,I2T,256,32,8192,15.44
siglip2-base,en,I2T,512,32,16384,16.42
siglip2-base,en,I2T,768,32,24576,16.46
siglip2-base,en,I2T,2,2,4,0.34
siglip2-base,en,I2T,4,2,8,0.66
siglip2-base,en,I2T,8,2,16,4.26
siglip2-base,en,I2T,16,2,32,14.2
siglip2-base,en,I2T,32,2,64,30.0
siglip2-base,en,I2T,64,2,128,50.2
siglip2-base,en,I2T,128,2,256,62.44
siglip2-base,en,I2T,256,2,512,59.38
siglip2-base,en,I2T,512,2,1024,45.58
siglip2-base,en,I2T,768,2,1536,25.44
siglip2-base,en,I2T,2,1,2,0.32
