backbone,lang,direction,dim,r10_cont,r10_sign,r10_sign_mc,r10_asym
so400m,en,T2I,2,0.34,0.3,0.42,0.3
so400m,en,T2I,4,1.02,0.58,0.82,0.58
so400m,en,T2I,8,3.58,2.44,2.6,2.32
so400m,en,T2I,16,16.34,9.8,10.02,11.18
so400m,en,T2I,32,39.98,20.78,20.7,28.26
so400m,en,T2I,64,63.16,35.52,35.18,49.54
so400m,en,T2I,128,76.08,46.16,45.68,63.84
so400m,en,T2I,256,79.92,48.66,48.44,69.52
so400m,en,T2I,512,80.52,37.94,38.0,70.26
so400m,en,T2I,1024,80.58,6.6,6.5,69.08
so400m,en,T2I,1152,80.58,4.22,4.04,69.1
so400m,en,I2T,2,0.2,0.26,0.4,0.26
so400m,en,I2T,4,0.5,0.52,0.86,0.52
so400m,en,I2T,8,1.1,2.38,2.28,2.48
so400m,en,I2T,16,3.64,8.84,9.66,11.76
so400m,en,I2T,32,9.44,19.02,20.06,28.4
so400m,en,I2T,64,19.0,34.08,35.02,48.36
so400m,en,I2T,128,28.98,45.76,45.92,62.12
so400m,en,I2T,256,36.22,48.88,49.28,68.26
so400m,en,I2T,512,38.44,37.88,38.24,66.94
so400m,en,I2T,1024,38.42,6.48,6.24,65.1
so400m,en,I2T,1152,38.42,4.28,4.14,65.16
siglip2-base,en,T2I,2,0.24,0.34,0.24,0.34
siglip2-base,en,T2I,4,0.9,0.58,0.84,0.58
siglip2-base,en,T2I,8,3.98,2.72,2.44,2.84
siglip2-base,en,T2I,16,16.6,8.64,8.3,10.84
siglip2-base,en,T2I,32,37.68,16.54,16.6,25.18
siglip2-base,en,T2I,64,61.72,31.62,31.2,46.1
siglip2-base,en,T2I,128,73.1,42.0,41.9,60.24
siglip2-base,en,T2I,256,77.48,42.58,42.52,66.58
siglip2-base,en,T2I,512,77.98,28.8,28.94,66.44
siglip2-base,en,T2I,768,77.96,12.4,12.58,65.42
siglip2-base,en,I2T,2,0.2,0.32,0.16,0.3
siglip2-base,en,I2T,4,0.44,0.58,0.46,0.52
siglip2-base,en,I2T,8,1.06,2.72,2.4,2.38
siglip2-base,en,I2T,16,2.24,8.12,8.48,11.04
siglip2-base,en,I2T,32,4.68,16.0,16.16,24.9
siglip2-base,en,I2T,64,8.58,30.18,30.54,45.72
siglip2-base,en,I2T,128,12.7,41.32,41.26,59.42
siglip2-base,en,I2T,256,15.44,42.44,42.38,64.66
siglip2-base,en,I2T,512,16.42,29.02,28.84,63.36
siglip2-base,en,I2T,768,16.46,12.74,12.76,62.24
siglip2-base,ko,T2I,2,0.2,0.24,0.18,0.24
siglip2-base,ko,T2I,4,0.66,0.62,0.74,0.62
siglip2-base,ko,T2I,8,2.6,2.24,2.02,2.28
siglip2-base,ko,T2I,16,9.84,6.06,5.88,8.3
siglip2-base,ko,T2I,32,24.42,11.44,11.48,18.14
siglip2-base,ko,T2I,64,43.78,22.12,21.56,32.62
siglip2-base,ko,T2I,128,56.04,29.28,29.04,45.1
siglip2-base,ko,T2I,256,60.42,28.0,27.82,49.54
siglip2-base,ko,T2I,512,60.82,18.0,17.64,49.02
siglip2-base,ko,T2I,768,60.5,6.4,6.36,48.64
siglip2-base,ko,I2T,2,0.2,0.26,0.14,0.24
siglip2-base,ko,I2T,4,0.32,0.62,0.5,0.56
siglip2-base,ko,I2T,8,0.68,2.3,2.46,2.08
siglip2-base,ko,I2T,16,1.16,6.58,6.18,8.42
siglip2-base,ko,I2T,32,2.1,11.22,11.14,19.0
siglip2-base,ko,I2T,64,3.34,21.08,21.52,32.74
siglip2-base,ko,I2T,128,4.42,28.98,28.98,45.06
siglip2-base,ko,I2T,256,5.12,27.58,27.76,48.94
siglip2-base,ko,I2T,512,5.32,18.06,17.88,47.06
siglip2-base,ko,I2T,768,5.28,6.38,6.28,45.72
altclip-m18,en,T2I,2,0.36,0.38,0.28,0.36
altclip-m18,en,T2I,4,1.26,0.78,0.74,0.74
altclip-m18,en,T2I,8,4.32,3.56,3.56,3.4
altclip-m18,en,T2I,16,13.0,8.3,7.6,11.56
altclip-m18,en,T2I,32,36.96,18.52,17.48,28.18
altclip-m18,en,T2I,64,62.0,32.9,32.2,48.84
altclip-m18,en,T2I,128,73.48,43.7,43.92,62.28
altclip-m18,en,T2I,256,77.68,42.82,42.84,66.98
altclip-m18,en,T2I,512,78.4,32.78,32.56,67.34
altclip-m18,en,T2I,1024,78.48,7.3,7.34,66.86
altclip-m18,en,I2T,2,0.36,0.34,0.28,0.32
altclip-m18,en,I2T,4,1.1,0.72,0.68,0.7
altclip-m18,en,I2T,8,4.66,3.54,3.12,3.36
altclip-m18,en,I2T,16,17.26,8.3,7.08,12.36
altclip-m18,en,I2T,32,44.76,17.42,16.96,30.28
altclip-m18,en,I2T,64,66.7,33.04,32.64,50.26
altclip-m18,en,I2T,128,76.08,43.74,44.02,62.06
altclip-m18,en,I2T,256,79.26,43.3,43.3,66.42
altclip-m18,en,I2T,512,79.96,32.76,32.42,66.28
altclip-m18,en,I2T,1024,80.06,7.44,7.4,64.96
altclip-m18,ko,T2I,2,0.36,0.34,0.3,0.32
altclip-m18,ko,T2I,4,1.16,0.86,0.98,0.72
altclip-m18,ko,T2I,8,2.64,2.46,2.06,2.12
altclip-m18,ko,T2I,16,10.16,7.78,7.1,10.48
altclip-m18,ko,T2I,32,28.54,15.74,15.22,25.08
altclip-m18,ko,T2I,64,51.52,28.12,27.46,43.04
altclip-m18,ko,T2I,128,64.0,36.82,37.1,53.98
altclip-m18,ko,T2I,256,68.84,37.2,37.26,59.68
altclip-m18,ko,T2I,512,70.68,27.82,27.68,60.2
altclip-m18,ko,T2I,1024,70.82,6.2,6.04,60.16
altclip-m18,ko,I2T,2,0.4,0.38,0.28,0.38
altclip-m18,ko,I2T,4,1.48,0.88,0.9,0.88
