lang,dim,r10
ar,2,0.421
ar,4,1.235
ar,8,5.362
ar,16,16.669
ar,32,39.528
ar,64,63.038
ar,128,77.576
ar,256,82.761
ar,512,83.67
ar,1024,83.698
ar,1152,83.698
bn,2,0.444
bn,4,0.944
bn,8,2.472
bn,16,6.583
bn,32,13.167
bn,64,23.944
bn,128,34.444
bn,256,39.417
bn,512,39.833
bn,1024,38.917
bn,1152,38.917
cs,2,0.389
cs,4,1.401
cs,8,5.55
cs,16,16.234
cs,32,38.56
cs,64,65.02
cs,128,80.838
cs,256,85.625
cs,512,86.485
cs,1024,86.582
cs,1152,86.582
da,2,0.413
da,4,1.473
da,8,5.603
da,16,18.557
da,32,45.471
da,64,73.031
da,128,86.702
da,256,90.983
da,512,91.534
da,1024,91.685
da,1152,91.685
de,2,0.544
de,4,1.944
de,8,8.296
de,16,27.12
de,32,58.51
de,64,84.473
de,128,94.585
de,256,96.76
de,512,97.142
de,1024,97.223
de,1152,97.223
el,2,0.305
el,4,1.194
el,8,3.97
el,16,11.299
el,32,32.093
el,64,56.899
el,128,72.904
el,256,78.248
el,512,79.775
el,1024,79.692
el,1152,79.692
en,2,0.361
en,4,1.514
en,8,5.917
en,16,15.625
en,32,37.806
en,64,64.167
en,128,81.264
en,256,86.514
en,512,87.292
en,1024,87.347
en,1152,87.347
es,2,0.348
es,4,1.231
es,8,5.526
es,16,23.276
es,32,50.975
es,64,76.666
es,128,89.842
es,256,93.011
es,512,93.441
es,1024,93.522
es,1152,93.522
fa,2,0.29
fa,4,1.008
fa,8,4.569
fa,16,17.405
fa,32,44.182
fa,64,69.731
fa,128,84.582
fa,256,89.193
fa,512,89.883
fa,1024,90.021
fa,1152,90.007
fi,2,0.365
fi,4,1.347
fi,8,4.827
fi,16,16.094
fi,32,36.383
fi,64,59.296
fi,128,75.039
fi,256,80.006
fi,512,81.044
fi,1024,81.114
fi,1152,81.114
fil,2,0.464
fil,4,0.802
fil,8,2.307
fil,16,6.147
fil,32,14.264
fil,64,28.147
fil,128,40.385
fil,256,45.885
fil,512,47.053
fil,1024,46.856
fil,1152,46.856
fr,2,0.467
fr,4,1.437
fr,8,5.933
fr,16,22.168
fr,32,53.656
fr,64,81.126
fr,128,92.619
fr,256,95.246
fr,512,95.807
fr,1024,95.9
fr,1152,95.9
he,2,0.361
he,4,0.958
he,8,4.014
he,16,13.875
he,32,35.486
he,64,59.306
he,128,74.847
he,256,80.472
he,512,82.056
he,1024,81.806
he,1152,81.806
hi,2,0.553
hi,4,0.941
hi,8,2.223
hi,16,6.809
hi,32,16.512
hi,64,29.554
hi,128,41.785
hi,256,47.313
hi,512,48.512
hi,1024,48.512
hi,1152,48.512
hr,2,0.33
hr,4,1.277
hr,8,4.107
hr,16,13.887
hr,32,35.385
hr,64,60.577
hr,128,77.363
hr,256,82.816
hr,512,83.97
hr,1024,83.901
hr,1152,83.901
hu,2,0.319
hu,4,0.956
hu,8,3.991
hu,16,12.542
hu,32,34.41
hu,64,61.946
hu,128,78.465
hu,256,83.911
hu,512,84.964
hu,1024,85.13
hu,1152,85.13
id,2,0.449
id,4,1.628
id,8,7.031
id,16,24.235
id,32,52.315
id,64,79.301
id,128,92.52
id,256,95.636
id,512,96.001
id,1024,95.902
id,1152,95.902
it,2,0.472
it,4,1.594
it,8,7.945
it,16,26.892
it,32,55.318
it,64,83.072
it,128,93.649
it,256,96.222
it,512,96.801
it,1024,96.978
it,1152,96.978
ja,2,0.195
ja,4,0.598
ja,8,2.937
ja,16,10.16
ja,32,26.138
ja,64,52.484
ja,128,72.248
ja,256,79.332
ja,512,80.988
ja,1024,80.752
ja,1152,80.738
ko,2,0.458
ko,4,1.49
ko,8,5.02
ko,16,17.712
ko,32,42.641
ko,64,69.268
ko,128,84.588
ko,256,89.216
ko,512,90.196
ko,1024,90.105
ko,1152,90.105
mi,2,0.359
mi,4,0.359
mi,8,0.549
mi,16,0.888
mi,32,0.824
mi,64,1.416
mi,128,2.029
mi,256,2.494
mi,512,2.515
mi,1024,2.325
mi,1152,2.325
nl,2,0.372
nl,4,1.278
nl,8,5.1
nl,16,16.665
nl,32,42.189
nl,64,70.418
nl,128,85.78
nl,256,90.11
nl,512,91.016
nl,1024,91.128
nl,1152,91.128
no,2,0.471
no,4,1.761
no,8,6.211
no,16,22.196
no,32,47.775
no,64,73.77
no,128,88.396
no,256,91.89
no,512,92.68
no,1024,92.846
no,1152,92.846
pl,2,0.364
pl,4,1.582
pl,8,4.873
pl,16,17.449
pl,32,45.96
pl,64,73.631
pl,128,88.055
pl,256,91.962
pl,512,92.774
pl,1024,92.858
pl,1152,92.858
pt,2,0.373
pt,4,1.325
pt,8,5.619
pt,16,19.412
pt,32,48.019
pt,64,75.521
pt,128,89.121
pt,256,92.71
pt,512,93.456
pt,1024,93.511
pt,1152,93.511
quz,2,0.306
quz,4,0.389
quz,8,0.611
quz,16,0.75
quz,32,1.333
quz,64,2.958
quz,128,7.069
quz,256,11.444
quz,512,12.736
quz,1024,12.597
quz,1152,12.597
ro,2,0.393
ro,4,1.011
ro,8,4.633
ro,16,15.583
ro,32,39.45
ro,64,65.899
ro,128,81.623
ro,256,86.986
ro,512,87.786
ro,1024,87.66
ro,1152,87.66
ru,2,0.444
ru,4,1.472
ru,8,5.958
ru,16,24.153
ru,32,55.431
ru,64,82.056
ru,128,94.111
ru,256,96.528
ru,512,97.056
ru,1024,97.097
ru,1152,97.097
sv,2,0.344
sv,4,1.567
sv,8,5.651
sv,16,17.792
sv,32,45.401
sv,64,71.662
sv,128,86.306
sv,256,90.073
sv,512,90.967
sv,1024,91.049
sv,1152,91.049
sw,2,0.454
sw,4,0.624
sw,8,1.519
sw,16,3.917
sw,32,7.025
sw,64,13.398
sw,128,21.544
sw,256,25.064
sw,512,25.192
sw,1024,24.879
sw,1152,24.879
te,2,0.417
te,4,0.639
te,8,1.597
te,16,1.833
te,32,3.069
te,64,4.958
te,128,7.389
te,256,8.833
te,512,9.042
te,1024,8.944
te,1152,8.944
th,2,0.361
th,4,0.681
th,8,3.028
th,16,9.806
th,32,23.556
th,64,43.944
th,128,59.111
th,256,66.056
th,512,67.375
th,1024,67.181
th,1152,67.181
tr,2,0.387
tr,4,1.258
tr,8,4.424
tr,16,15.346
tr,32,38.822
tr,64,65.657
tr,128,81.225
tr,256,86.354
tr,512,87.336
tr,1024,87.377
tr,1152,87.377
uk,2,0.347
uk,4,1.15
uk,8,4.505
uk,16,17.186
uk,32,41.441
uk,64,69.12
uk,128,84.532
uk,256,89.175
uk,512,89.716
uk,1024,89.771
uk,1152,89.771
vi,2,0.395
vi,4,1.415
vi,8,7.088
vi,16,24.435
vi,32,54.327
vi,64,79.374
vi,128,91.605
vi,256,94.694
vi,512,95.238
vi,1024,95.211
vi,1152,95.197
zh,2,0.167
zh,4,0.53
zh,8,3.039
zh,16,12.364
zh,32,31.015
zh,64,56.858
zh,128,75.16
zh,256,81.28
zh,512,82.548
zh,1024,82.353
zh,1152,82.353
