backbone,k,img_txt_overlap,random_overlap,r10_img_subspace,r10_txt_subspace,r10_combined_subspace
so400m,2,0.0905,0.0009,0.42,0.36,0.34
so400m,4,0.1826,0.003,0.8,1.7,1.02
so400m,8,0.1964,0.0072,1.56,5.16,3.58
so400m,16,0.2664,0.0133,5.08,22.46,16.34
so400m,32,0.3392,0.0275,12.14,46.44,39.98
so400m,64,0.3914,0.0546,27.72,66.56,63.16
so400m,128,0.4575,0.1086,46.94,75.72,76.08
so400m,256,0.5726,0.2197,60.92,79.18,79.92
siglip2-base,2,0.151,0.0023,0.66,0.42,0.24
siglip2-base,4,0.2136,0.0059,0.72,1.86,0.9
siglip2-base,8,0.2566,0.0122,1.64,7.92,3.98
siglip2-base,16,0.2746,0.0214,4.46,24.2,16.6
siglip2-base,32,0.3461,0.0387,11.4,47.12,37.68
siglip2-base,64,0.4119,0.0829,25.76,65.32,61.72
siglip2-base,128,0.4814,0.1663,44.34,73.84,73.1
siglip2-base,256,0.6078,0.334,56.96,77.2,77.48
altclip-m18,2,0.2051,0.001,0.38,0.74,0.36
altclip-m18,4,0.2101,0.0024,0.96,3.54,1.26
altclip-m18,8,0.265,0.0086,3.26,13.2,4.32
altclip-m18,16,0.2941,0.0183,7.16,35.46,13.0
altclip-m18,32,0.392,0.0318,19.32,58.74,36.96
altclip-m18,64,0.4519,0.0635,38.02,70.6,62.0
altclip-m18,128,0.5117,0.1262,57.36,76.04,73.48
altclip-m18,256,0.6302,0.2521,67.16,78.2,77.68
