lang,variant,R1,R5,R10,mAP10
ar,"baseline(maxlen64,orig-case)",51.24,76.26,83.58,61.99
ar,lowercased,51.38,76.37,83.63,62.11
bn,"baseline(maxlen64,orig-case)",12.33,25.39,33.06,18.07
bn,lowercased,12.33,25.39,33.06,18.07
cs,"baseline(maxlen64,orig-case)",35.49,57.47,65.96,45.0
cs,lowercased,50.48,74.86,82.78,60.92
da,"baseline(maxlen64,orig-case)",51.46,74.12,80.69,61.16
da,lowercased,61.69,83.55,89.62,71.2
de,"baseline(maxlen64,orig-case)",16.85,31.03,37.58,22.96
de,lowercased,76.64,93.72,96.54,84.01
el,"baseline(maxlen64,orig-case)",33.44,55.15,63.76,42.81
el,lowercased,43.5,67.09,74.68,53.45
en,"baseline(maxlen64,orig-case)",53.04,76.28,83.36,62.97
en,lowercased,58.14,81.78,88.35,68.29
es,"baseline(maxlen64,orig-case)",52.44,76.27,83.57,62.73
es,lowercased,67.46,88.61,93.45,76.57
fa,"baseline(maxlen64,orig-case)",58.26,82.64,88.47,68.52
fa,lowercased,58.29,82.65,88.49,68.54
fi,"baseline(maxlen64,orig-case)",31.42,52.79,61.33,40.51
fi,lowercased,43.36,66.38,74.67,53.24
fil,"baseline(maxlen64,orig-case)",12.72,26.68,33.25,18.74
fil,lowercased,17.44,34.63,42.34,24.76
fr,"baseline(maxlen64,orig-case)",66.88,87.81,92.58,75.85
fr,lowercased,74.36,92.55,96.06,82.21
he,"baseline(maxlen64,orig-case)",48.08,72.53,80.44,58.57
he,lowercased,48.19,72.58,80.49,58.66
hi,"baseline(maxlen64,orig-case)",16.02,32.41,40.9,23.11
hi,lowercased,16.02,32.41,40.9,23.11
hr,"baseline(maxlen64,orig-case)",37.29,60.12,68.08,47.02
hr,lowercased,50.92,73.72,80.96,60.8
hu,"baseline(maxlen64,orig-case)",40.65,63.82,71.72,50.53
hu,lowercased,53.85,76.91,83.45,63.7
id,"baseline(maxlen64,orig-case)",62.84,84.91,90.4,72.29
id,lowercased,71.93,91.65,95.85,80.53
it,"baseline(maxlen64,orig-case)",62.94,84.41,90.12,72.15
it,lowercased,74.67,92.88,96.26,82.46
ja,"baseline(maxlen64,orig-case)",47.89,73.14,80.6,58.64
ja,lowercased,47.99,73.17,80.65,58.71
ko,"baseline(maxlen64,orig-case)",59.32,82.93,88.89,69.39
ko,lowercased,59.46,83.02,88.93,69.5
mi,"baseline(maxlen64,orig-case)",0.23,0.61,1.06,0.42
mi,lowercased,0.32,1.01,1.5,0.6
nl,"baseline(maxlen64,orig-case)",49.16,71.99,79.55,58.99
nl,lowercased,61.94,85.02,90.64,71.66
no,"baseline(maxlen64,orig-case)",47.77,71.94,79.29,58.09
no,lowercased,60.36,83.95,90.0,70.53
pl,"baseline(maxlen64,orig-case)",54.12,75.47,82.44,63.28
pl,lowercased,65.72,86.75,91.63,74.67
pt,"baseline(maxlen64,orig-case)",55.6,78.06,84.43,64.96
pt,lowercased,67.57,88.95,93.84,76.76
quz,"baseline(maxlen64,orig-case)",2.42,6.11,8.22,4.0
quz,lowercased,3.11,7.71,10.17,5.09
ro,"baseline(maxlen64,orig-case)",44.64,66.81,74.95,54.26
ro,lowercased,57.05,79.97,86.52,66.74
ru,"baseline(maxlen64,orig-case)",64.76,85.99,90.97,73.86
ru,lowercased,75.07,93.4,96.65,82.84
sv,"baseline(maxlen64,orig-case)",50.24,72.36,79.18,59.86
sv,lowercased,61.31,83.13,88.84,70.66
sw,"baseline(maxlen64,orig-case)",5.02,11.2,14.62,7.69
sw,lowercased,8.0,16.9,21.96,11.88
te,"baseline(maxlen64,orig-case)",0.81,3.07,4.6,1.82
te,lowercased,0.81,3.07,4.6,1.82
th,"baseline(maxlen64,orig-case)",27.18,50.64,60.04,37.19
th,lowercased,28.62,51.64,60.92,38.47
tr,"baseline(maxlen64,orig-case)",47.5,71.87,80.02,57.97
tr,lowercased,57.25,80.71,87.06,67.18
uk,"baseline(maxlen64,orig-case)",46.58,69.81,77.51,56.45
uk,lowercased,59.29,82.4,88.09,69.06
vi,"baseline(maxlen64,orig-case)",62.97,85.18,90.97,72.43
vi,lowercased,70.52,90.63,94.91,79.15
zh,"baseline(maxlen64,orig-case)",50.66,74.39,81.92,60.95
zh,lowercased,50.75,74.45,81.96,61.03
de,"dynamic-pad(longest,orig-case)",2.08,4.65,6.13,3.18
AVG36,baseline,,,66.89,
AVG36,lowercased,,,74.46,
