gate,variant,seed,scale,r1_en,r10_en,r1_ko,r10_ko,head_params,latency_ms_1k
baseline,baseline,0,8,0.76,9.18,0.74,7.42,841840,1.556
baseline,baseline,0,16,3.8,18.96,3.52,17.02,841840,1.556
baseline,baseline,0,32,8.44,32.22,6.76,26.5,841840,1.556
baseline,baseline,0,64,14.88,46.78,10.22,38.66,841840,1.556
baseline,baseline,0,128,18.66,55.32,14.06,46.42,841840,1.556
baseline,baseline,0,256,22.12,59.78,15.78,50.98,841840,1.556
baseline,baseline,0,512,24.06,62.52,17.62,53.4,841840,1.556
baseline,baseline,0,1024,24.7,63.96,18.38,55.16,841840,1.556
baseline,baseline,1,8,1.14,8.7,0.76,7.46,841840,1.525
baseline,baseline,1,16,3.84,17.96,3.4,16.36,841840,1.525
baseline,baseline,1,32,8.82,32.3,6.86,28.8,841840,1.525
baseline,baseline,1,64,14.24,46.02,10.78,39.84,841840,1.525
baseline,baseline,1,128,18.56,54.92,14.54,47.24,841840,1.525
baseline,baseline,1,256,22.12,59.48,16.86,51.66,841840,1.525
baseline,baseline,1,512,24.44,62.54,18.38,54.32,841840,1.525
baseline,baseline,1,1024,25.64,63.84,18.9,55.56,841840,1.525
1,conv,0,8,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,16,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,32,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,64,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,128,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,256,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,512,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,0,1024,0.02,0.2,0.02,0.2,2174768,6.489
1,conv,1,8,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,16,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,32,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,64,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,128,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,256,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,512,0.02,0.2,0.02,0.2,2174768,6.348
1,conv,1,1024,0.02,0.2,0.02,0.2,2174768,6.348
1,convunet,0,8,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,16,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,32,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,64,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,128,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,256,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,512,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,0,1024,0.02,0.2,0.02,0.2,3946528,13.357
1,convunet,1,8,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,16,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,32,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,64,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,128,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,256,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,512,0.02,0.2,0.02,0.2,3946528,13.187
1,convunet,1,1024,0.02,0.2,0.02,0.2,3946528,13.187
3,depth,0,8,0.84,7.4,0.8,6.8,1827432,3.498
3,depth,0,16,3.68,18.5,3.04,15.4,1827432,3.498
3,depth,0,32,6.42,28.7,5.96,25.56,1827432,3.498
3,depth,0,64,9.9,38.84,8.58,33.52,1827432,3.498
3,depth,0,128,12.42,43.96,10.36,37.9,1827432,3.498
3,depth,0,256,14.44,47.46,11.04,40.28,1827432,3.498
3,depth,0,512,15.14,48.52,11.8,41.88,1827432,3.498
3,depth,0,1024,15.44,49.48,12.44,42.32,1827432,3.498
3,depth,1,8,0.78,7.9,0.6,7.22,1827432,3.286
3,depth,1,16,3.18,16.1,2.86,14.7,1827432,3.286
3,depth,1,32,6.64,27.38,5.1,24.94,1827432,3.286
3,depth,1,64,10.1,37.46,8.08,33.54,1827432,3.286
3,depth,1,128,12.3,43.4,9.2,37.72,1827432,3.286
3,depth,1,256,13.38,45.82,10.66,41.38,1827432,3.286
