encoder,hf_id,params_M,dim,int8_MB,ondevice,train_img_s,Rs_EN_R1,Rs_EN_R10,Rs_KO_R10,Roff_EN_R10,Roff_KO_R10,mixed_server_EN_R10,code_hamming_vs_sig,top10_overlap_vs_sig,ref_sig_server_EN_R10,ref_sig_server_KO_R10
siglip2-base,google/siglip2-base-patch16-256,92.9,768,92.9,TJS(siglip),85.1,37.3,77.98,66.84,70.18,62.36,77.78,176.7,0.649,81.24,71.08
dinov2-small,facebook/dinov2-small,22.1,384,22.1,TJS,93.0,20.78,61.38,49.78,52.7,44.38,69.9,230.9,0.475,81.24,71.08
dinov2-base,facebook/dinov2-base,86.6,768,86.6,TJS,80.5,22.76,65.0,53.12,55.68,47.46,71.16,222.1,0.501,81.24,71.08
mobileclip2-s0,MobileCLIP2-S0,11.4,512,11.4,TJS/WebGPU,35.7,29.88,70.52,59.32,61.78,54.88,74.68,202.3,0.565,81.24,71.08
mobileclip2-s2,MobileCLIP2-S2,35.8,512,35.8,TJS/WebGPU,29.3,35.66,76.18,64.28,67.04,59.02,77.44,184.0,0.623,81.24,71.08
openvision-ti16,hf-hub:UCSC-VLAA/openvision-vit-tiny-patch16-224,5.6,192,5.6,export,91.5,21.5,61.2,50.66,51.44,45.4,68.28,234.8,0.46,81.24,71.08
openvision-s16,hf-hub:UCSC-VLAA/openvision-vit-small-patch16-224,21.8,384,21.8,export,50.1,30.12,71.38,59.4,62.78,54.6,74.84,204.6,0.56,81.24,71.08
pe-core-b16,PE-Core-B-16,93.7,1024,93.7,export,36.8,35.0,76.14,64.3,67.9,59.9,76.72,183.4,0.626,81.24,71.08
mobileclip2-s4,MobileCLIP2-S4,321.8,768,321.8,export,20.7,38.22,77.62,66.72,69.86,61.68,77.3,172.5,0.658,81.24,71.08
tinyclip-8m,wkcn/TinyCLIP-ViT-8M-16-Text-3M-YFCC15M,8.3,512,8.3,export,100.7,21.8,61.6,50.68,53.24,45.62,69.1,227.0,0.476,81.24,71.08
