tag,head_norm,loss,negsep_w,hmargin_m,aux_scale,epochs,seed,bit,en_t2i_r1,en_t2i_r5,en_t2i_r10,en_i2t_r1,en_i2t_r5,en_i2t_r10,ko_t2i_r1,ko_t2i_r5,ko_t2i_r10,hmargin_bits,hmargin_std,naninf,secs
bn-infonce-e25-s0,bn,infonce,0.5,0.1,1.0,25,0,64,27.4,55.16,67.46,27.16,54.94,67.54,14.54,35.16,47.2,-2.886,4.755,0,770.1
bn-infonce-e25-s0,bn,infonce,0.5,0.1,1.0,25,0,128,34.28,63.3,74.92,32.86,62.82,75.3,18.86,42.44,54.86,-3.666,8.575,0,771.9
bn-infonce-e25-s0,bn,infonce,0.5,0.1,1.0,25,0,256,38.62,67.86,78.18,38.42,67.24,78.52,22.74,46.9,59.56,-4.904,16.042,0,774.1
bn-infonce-e25-s0,bn,infonce,0.5,0.1,1.0,25,0,512,41.0,69.8,80.12,40.48,69.76,80.16,24.36,49.84,61.3,-7.386,30.964,0,777.1
bn-infonce-e25-s0,bn,infonce,0.5,0.1,1.0,25,0,1024,42.34,70.98,80.88,42.04,70.58,80.74,25.3,50.84,62.74,-12.176,60.915,0,782.6
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,64,27.1,55.1,67.58,26.78,54.94,67.7,15.12,35.42,47.08,-2.884,4.702,0,492.8
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,128,33.82,63.7,75.06,32.82,63.02,74.74,19.06,43.4,55.8,-3.6,8.455,0,494.7
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,256,38.36,67.36,77.84,37.28,66.94,77.9,22.44,47.46,60.26,-4.783,15.862,0,496.9
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,512,41.66,69.38,79.34,40.02,69.42,79.64,24.68,49.88,62.42,-7.196,30.525,0,499.8
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,1024,42.76,70.08,80.62,41.72,70.28,80.66,25.92,51.2,63.32,-11.965,60.008,0,504.9
