tag,head_norm,loss,negsep_w,hmargin_m,aux_scale,epochs,seed,bit,en_t2i_r1,en_t2i_r5,en_t2i_r10,en_i2t_r1,en_i2t_r5,en_i2t_r10,ko_t2i_r1,ko_t2i_r5,ko_t2i_r10,hmargin_bits,hmargin_std,naninf,secs
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,64,27.1,55.1,67.58,26.78,54.94,67.7,15.12,35.42,47.08,-2.884,4.702,0,492.8
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,128,33.82,63.7,75.06,32.82,63.02,74.74,19.06,43.4,55.8,-3.6,8.455,0,494.7
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,256,38.36,67.36,77.84,37.28,66.94,77.9,22.44,47.46,60.26,-4.783,15.862,0,496.9
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,512,41.66,69.38,79.34,40.02,69.42,79.64,24.68,49.88,62.42,-7.196,30.525,0,499.8
bn-infonce-s0,bn,infonce,0.5,0.1,1.0,15,0,1024,42.76,70.08,80.62,41.72,70.28,80.66,25.92,51.2,63.32,-11.965,60.008,0,504.9
bn-aux0-s0,bn,infonce,0.5,0.1,0.0,15,0,64,26.56,54.54,67.92,26.3,54.22,68.16,14.86,34.5,47.16,-2.948,4.692,0,503.6
bn-aux0-s0,bn,infonce,0.5,0.1,0.0,15,0,128,33.82,63.08,75.46,32.54,62.96,74.46,18.36,43.36,56.24,-3.66,8.488,0,505.4
bn-aux0-s0,bn,infonce,0.5,0.1,0.0,15,0,256,38.24,67.22,78.0,37.34,67.26,78.12,22.98,48.36,59.74,-4.84,15.866,0,507.7
bn-aux0-s0,bn,infonce,0.5,0.1,0.0,15,0,512,41.54,69.36,79.76,40.66,69.34,79.86,24.72,50.6,62.68,-7.168,30.486,0,510.6
bn-aux0-s0,bn,infonce,0.5,0.1,0.0,15,0,1024,42.64,70.44,80.7,41.88,70.54,80.58,26.02,51.66,63.52,-11.77,59.93,0,515.8
ln-infonce-s0,ln,infonce,0.5,0.1,1.0,15,0,64,26.08,55.42,68.42,26.42,55.66,67.66,14.56,35.88,47.48,-2.912,4.679,0,462.5
ln-infonce-s0,ln,infonce,0.5,0.1,1.0,15,0,128,34.08,63.06,75.06,33.18,62.88,74.66,18.96,42.88,55.48,-3.656,8.45,0,464.3
ln-infonce-s0,ln,infonce,0.5,0.1,1.0,15,0,256,38.8,67.54,78.3,37.22,67.1,77.58,22.14,47.98,59.54,-4.903,15.719,0,466.5
ln-infonce-s0,ln,infonce,0.5,0.1,1.0,15,0,512,40.92,68.88,79.68,40.04,69.12,79.5,24.72,50.28,62.56,-7.465,30.387,0,469.5
ln-infonce-s0,ln,infonce,0.5,0.1,1.0,15,0,1024,42.32,70.16,80.2,41.66,69.92,80.16,25.8,51.44,63.46,-12.505,59.795,0,474.8
none-infonce-s0,none,infonce,0.5,0.1,1.0,15,0,64,26.52,55.34,68.1,25.5,54.92,68.08,14.82,35.58,47.78,-2.933,4.733,0,445.9
none-infonce-s0,none,infonce,0.5,0.1,1.0,15,0,128,33.16,63.38,74.76,33.18,63.24,74.52,18.42,43.12,55.98,-3.703,8.48,0,447.7
none-infonce-s0,none,infonce,0.5,0.1,1.0,15,0,256,38.38,67.0,78.08,37.46,66.58,77.56,22.24,47.44,60.42,-4.929,15.735,0,449.9
none-infonce-s0,none,infonce,0.5,0.1,1.0,15,0,512,40.24,69.12,79.64,40.28,69.12,79.6,24.36,50.02,62.32,-7.412,30.24,0,452.9
