lang,policy,b_lo,K,frac_hard,avg_bits,R@1,R@5,R@10
EN,uniform,8,0,1.0,8,1.34,7.72,15.42
EN,uniform,16,0,1.0,16,8.62,24.6,34.26
EN,uniform,32,0,1.0,32,18.1,42.06,54.28
EN,uniform,64,0,1.0,64,26.78,54.88,68.5
EN,uniform,128,0,1.0,128,33.38,63.38,75.26
EN,uniform,256,0,1.0,256,37.86,66.46,77.64
EN,uniform,512,0,1.0,512,40.04,68.36,78.74
EN,uniform,1024,0,1.0,1024,41.24,69.22,79.98
EN,coarse2fine,64,50,1.0,74.2,41.1,68.8,79.04
EN,coarse2fine,64,100,1.0,84.5,41.14,69.1,79.62
EN,coarse2fine,64,200,1.0,105.0,41.18,69.14,79.88
EN,coarse2fine,64,500,1.0,166.4,41.18,69.14,79.96
EN,coarse2fine,64,1000,1.0,268.8,41.18,69.16,79.98
EN,coarse2fine,128,50,1.0,138.2,41.14,69.26,79.8
EN,coarse2fine,128,100,1.0,148.5,41.14,69.26,79.98
EN,coarse2fine,128,200,1.0,169.0,41.14,69.24,79.96
EN,coarse2fine,128,500,1.0,230.4,41.14,69.24,79.96
EN,coarse2fine,128,1000,1.0,332.8,41.14,69.24,79.96
EN,coarse2fine,256,50,1.0,266.2,41.16,69.22,79.94
EN,coarse2fine,256,100,1.0,276.5,41.16,69.2,79.96
EN,coarse2fine,256,200,1.0,297.0,41.16,69.2,79.96
EN,coarse2fine,256,500,1.0,358.4,41.16,69.2,79.96
EN,coarse2fine,256,1000,1.0,460.8,41.16,69.2,79.96
EN,cascade,64,200,0.254,74.4,31.68,59.04,72.1
EN,cascade,64,500,0.254,90.0,31.68,59.02,72.1
EN,cascade,64,200,0.585,88.0,37.38,64.14,76.06
EN,cascade,64,500,0.585,123.9,37.38,64.12,76.08
EN,cascade,64,200,0.78,96.0,40.02,67.0,78.3
EN,cascade,64,500,0.78,143.9,40.02,66.98,78.36
EN,cascade,128,200,0.366,143.0,37.82,65.9,77.38
EN,cascade,128,500,0.366,165.5,37.82,65.9,77.38
EN,cascade,128,200,0.529,149.7,39.34,66.84,78.36
EN,cascade,128,500,0.529,182.2,39.34,66.84,78.36
EN,cascade,128,200,0.656,154.9,40.16,67.96,78.86
EN,cascade,128,500,0.656,195.1,40.16,67.96,78.86
KO,uniform,8,0,1.0,8,0.72,4.7,9.54
KO,uniform,16,0,1.0,16,4.36,14.06,20.86
KO,uniform,32,0,1.0,32,9.08,24.52,34.94
KO,uniform,64,0,1.0,64,14.16,35.32,47.74
KO,uniform,128,0,1.0,128,18.52,42.66,55.0
KO,uniform,256,0,1.0,256,21.3,46.1,58.34
KO,uniform,512,0,1.0,512,23.6,48.36,60.34
KO,uniform,1024,0,1.0,1024,24.88,49.52,62.26
KO,coarse2fine,64,50,1.0,74.2,24.6,48.56,60.44
KO,coarse2fine,64,100,1.0,84.5,24.84,49.1,61.64
KO,coarse2fine,64,200,1.0,105.0,24.94,49.38,62.0
KO,coarse2fine,64,500,1.0,166.4,24.96,49.52,62.2
KO,coarse2fine,64,1000,1.0,268.8,25.0,49.56,62.26
KO,coarse2fine,128,50,1.0,138.2,25.06,49.4,62.12
KO,coarse2fine,128,100,1.0,148.5,25.08,49.44,62.26
KO,coarse2fine,128,200,1.0,169.0,25.08,49.48,62.28
KO,coarse2fine,128,500,1.0,230.4,25.08,49.46,62.26
KO,coarse2fine,128,1000,1.0,332.8,25.08,49.46,62.26
KO,coarse2fine,256,50,1.0,266.2,24.92,49.46,62.2
KO,coarse2fine,256,100,1.0,276.5,24.92,49.46,62.22
KO,coarse2fine,256,200,1.0,297.0,24.92,49.46,62.2
KO,coarse2fine,256,500,1.0,358.4,24.92,49.46,62.2
KO,coarse2fine,256,1000,1.0,460.8,24.92,49.46,62.2
KO,cascade,64,200,0.288,75.8,17.44,39.88,52.04
KO,cascade,64,500,0.288,93.5,17.44,39.9,52.04
KO,cascade,64,200,0.658,90.9,22.38,45.5,57.46
KO,cascade,64,500,0.658,131.3,22.4,45.62,57.52
KO,cascade,64,200,0.658,90.9,22.38,45.5,57.46
KO,cascade,64,500,0.658,131.3,22.4,45.62,57.52
KO,cascade,128,200,0.428,145.5,21.84,45.86,57.98
KO,cascade,128,500,0.428,171.8,21.84,45.84,57.96
KO,cascade,128,200,0.428,145.5,21.84,45.86,57.98
KO,cascade,128,500,0.428,171.8,21.84,45.84,57.96
KO,cascade,128,200,0.616,153.2,23.2,47.18,59.74
KO,cascade,128,500,0.616,191.1,23.2,47.16,59.72
