comp,setting,seed,bit,R1_EN,R5_EN,R10_EN,R1_KO,R5_KO,R10_KO,margin_mean,margin_p10,flip_pct,cos_pair
C,C_T02,42,64,15.56,39.92,53.28,11.38,31.24,43.94,0.025,0.004,2.175,0.6512
C,C_T02,42,128,21.6,48.18,62.2,15.48,39.14,53.2,0.025,0.004,2.175,0.6512
C,C_T02,42,256,25.44,54.76,68.12,18.44,44.94,58.28,0.025,0.004,2.175,0.6512
C,C_T02,42,512,28.16,57.68,70.38,20.88,47.54,60.78,0.025,0.004,2.175,0.6512
C,C_T02,42,1024,29.88,59.54,71.36,22.0,49.66,62.88,0.025,0.004,2.175,0.6512
C,C_T04,42,64,15.54,40.0,53.24,11.42,31.2,43.96,0.025,0.004,2.175,0.6512
C,C_T04,42,128,21.58,48.28,62.18,15.46,39.08,53.14,0.025,0.004,2.175,0.6512
C,C_T04,42,256,25.46,54.76,68.12,18.42,44.94,58.24,0.025,0.004,2.175,0.6512
C,C_T04,42,512,28.14,57.7,70.36,20.9,47.38,60.76,0.025,0.004,2.175,0.6512
C,C_T04,42,1024,29.86,59.54,71.42,21.98,49.66,62.88,0.025,0.004,2.175,0.6512
U,U_wu0.1_m0.05,42,64,15.6,39.94,53.3,11.38,31.34,44.02,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.05,42,128,21.6,48.24,62.06,15.5,38.94,53.08,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.05,42,256,25.44,54.72,68.08,18.46,44.98,58.26,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.05,42,512,28.16,57.66,70.32,20.86,47.58,60.82,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.05,42,1024,30.02,59.58,71.26,22.14,49.86,62.86,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.1,42,64,15.6,39.94,53.3,11.38,31.34,44.02,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.1,42,128,21.6,48.24,62.06,15.5,38.94,53.08,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.1,42,256,25.44,54.72,68.08,18.46,44.98,58.26,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.1,42,512,28.16,57.66,70.32,20.86,47.58,60.82,0.025,0.004,2.177,0.6512
U,U_wu0.1_m0.1,42,1024,30.02,59.58,71.26,22.14,49.86,62.86,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.05,42,64,15.6,39.96,53.3,11.4,31.36,44.0,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.05,42,128,21.6,48.24,62.08,15.52,38.94,53.1,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.05,42,256,25.44,54.74,68.08,18.46,44.98,58.26,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.05,42,512,28.16,57.66,70.32,20.86,47.58,60.82,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.05,42,1024,30.02,59.58,71.26,22.14,49.86,62.88,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.1,42,64,15.6,39.96,53.28,11.4,31.36,44.0,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.1,42,128,21.6,48.24,62.06,15.52,38.94,53.1,0.025,0.004,2.177,0.6512
U,U_wu0.2_m0.1,42,256,25.44,54.74,68.08,18.46,44.98,58.26,0.025,0.004,2.177,0.6512
