comp,setting,seed,bit,R1_EN,R5_EN,R10_EN,margin_mean,margin_p10,flip_pct,cos_pair
C,C_T02,42,64,25.26,52.5,65.92,0.0251,0.004,0.951,0.7729
C,C_T02,42,128,31.82,60.4,72.44,0.0251,0.004,0.951,0.7729
C,C_T02,42,256,36.06,64.52,75.74,0.0251,0.004,0.951,0.7729
C,C_T02,42,512,38.02,66.7,76.98,0.0251,0.004,0.951,0.7729
C,C_T02,42,1024,39.64,67.62,78.1,0.0251,0.004,0.951,0.7729
C,C_T04,42,64,25.14,52.54,66.02,0.0251,0.004,0.949,0.7729
C,C_T04,42,128,31.54,60.46,72.88,0.0251,0.004,0.949,0.7729
C,C_T04,42,256,35.78,64.64,75.7,0.0251,0.004,0.949,0.7729
C,C_T04,42,512,38.16,67.22,76.96,0.0251,0.004,0.949,0.7729
C,C_T04,42,1024,39.6,67.94,77.94,0.0251,0.004,0.949,0.7729
U,U_wu0.1_m0.05,42,64,24.68,53.72,66.1,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.05,42,128,31.58,60.88,72.76,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.05,42,256,35.62,64.3,75.58,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.05,42,512,37.92,66.44,77.38,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.05,42,1024,39.38,68.06,77.94,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.1,42,64,24.68,53.72,66.1,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.1,42,128,31.6,60.88,72.76,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.1,42,256,35.62,64.3,75.58,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.1,42,512,37.92,66.46,77.38,0.0251,0.004,0.952,0.7729
U,U_wu0.1_m0.1,42,1024,39.38,68.06,77.96,0.0251,0.004,0.952,0.7729
U,U_wu0.2_m0.05,42,64,24.68,53.72,66.1,0.0251,0.004,0.952,0.7729
U,U_wu0.2_m0.05,42,128,31.6,60.88,72.76,0.0251,0.004,0.952,0.7729
U,U_wu0.2_m0.05,42,256,35.62,64.3,75.58,0.0251,0.004,0.952,0.7729
U,U_wu0.2_m0.05,42,512,37.92,66.44,77.38,0.0251,0.004,0.952,0.7729
