model,preproc,lang,R10,mAP10
so400m text tower,lowercased(FIX),ar,83.63,62.11
so400m text tower,orig-case(buggy),ar,83.58,
"offline e5-small (C1, no-prefix)",native(1bit head),ar,32.02,
offline MiniLM-L12-v2,native(1bit head),ar,56.77,
offline e5-base (query:),native(1bit head),ar,39.22,
server so400m+ft113,"orig-case(buggy,1bit)",ar,77.25,
so400m text tower,lowercased(FIX),bn,33.06,18.07
so400m text tower,orig-case(buggy),bn,33.06,
"offline e5-small (C1, no-prefix)",native(1bit head),bn,34.33,
offline MiniLM-L12-v2,native(1bit head),bn,10.64,
offline e5-base (query:),native(1bit head),bn,29.56,
server so400m+ft113,"orig-case(buggy,1bit)",bn,34.81,
so400m text tower,lowercased(FIX),cs,82.78,60.92
so400m text tower,orig-case(buggy),cs,65.96,
"offline e5-small (C1, no-prefix)",native(1bit head),cs,27.5,
offline MiniLM-L12-v2,native(1bit head),cs,58.0,
offline e5-base (query:),native(1bit head),cs,42.31,
server so400m+ft113,"orig-case(buggy,1bit)",cs,64.22,
so400m text tower,lowercased(FIX),da,89.62,71.2
so400m text tower,orig-case(buggy),da,80.69,
"offline e5-small (C1, no-prefix)",native(1bit head),da,36.67,
offline MiniLM-L12-v2,native(1bit head),da,64.59,
offline e5-base (query:),native(1bit head),da,50.96,
server so400m+ft113,"orig-case(buggy,1bit)",da,76.09,
so400m text tower,lowercased(FIX),de,96.54,84.01
so400m text tower,orig-case(buggy),de,37.58,
"offline e5-small (C1, no-prefix)",native(1bit head),de,46.4,
offline MiniLM-L12-v2,native(1bit head),de,66.55,
offline e5-base (query:),native(1bit head),de,55.69,
server so400m+ft113,"orig-case(buggy,1bit)",de,30.05,
so400m text tower,lowercased(FIX),el,74.68,53.45
so400m text tower,orig-case(buggy),el,63.76,
"offline e5-small (C1, no-prefix)",native(1bit head),el,24.53,
offline MiniLM-L12-v2,native(1bit head),el,55.52,
offline e5-base (query:),native(1bit head),el,34.61,
server so400m+ft113,"orig-case(buggy,1bit)",el,61.4,
so400m text tower,lowercased(FIX),en,88.35,68.29
so400m text tower,orig-case(buggy),en,83.36,
"offline e5-small (C1, no-prefix)",native(1bit head),en,59.15,
offline MiniLM-L12-v2,native(1bit head),en,68.69,
offline e5-base (query:),native(1bit head),en,65.04,
server so400m+ft113,"orig-case(buggy,1bit)",en,77.86,
so400m text tower,lowercased(FIX),es,93.45,76.57
so400m text tower,orig-case(buggy),es,83.57,
"offline e5-small (C1, no-prefix)",native(1bit head),es,44.25,
offline MiniLM-L12-v2,native(1bit head),es,60.29,
offline e5-base (query:),native(1bit head),es,56.04,
server so400m+ft113,"orig-case(buggy,1bit)",es,74.29,
so400m text tower,lowercased(FIX),fa,88.49,68.54
so400m text tower,orig-case(buggy),fa,88.47,
"offline e5-small (C1, no-prefix)",native(1bit head),fa,37.56,
offline MiniLM-L12-v2,native(1bit head),fa,62.77,
offline e5-base (query:),native(1bit head),fa,46.58,
server so400m+ft113,"orig-case(buggy,1bit)",fa,82.88,
