language,encoder,bucket,n,R10
ar,float,all,7367,83.58
ar,float,le64,7365,83.57
ar,float,gt64,2,100.0
ar,server,all,7367,77.25
ar,server,le64,7365,77.24
ar,server,gt64,2,100.0
bn,float,all,3600,33.06
bn,float,le64,3589,33.1
bn,float,gt64,11,18.18
bn,server,all,3600,34.81
bn,server,le64,3589,34.91
bn,server,gt64,11,0.0
cs,float,all,7207,65.96
cs,float,le64,7187,65.95
cs,float,gt64,20,70.0
cs,server,all,7207,64.22
cs,server,le64,7187,64.19
cs,server,gt64,20,75.0
da,float,all,7264,80.69
da,float,le64,7264,80.69
da,float,gt64,0,
da,server,all,7264,76.09
da,server,le64,7264,76.09
da,server,gt64,0,
de,float,all,8643,37.58
de,float,le64,8638,37.58
de,float,gt64,5,40.0
de,server,all,8643,30.05
de,server,le64,8638,30.04
de,server,gt64,5,40.0
el,float,all,7204,63.76
el,float,le64,7174,63.83
el,float,gt64,30,46.67
el,server,all,7204,61.4
el,server,le64,7174,61.51
el,server,gt64,30,33.33
en,float,all,7200,83.36
en,float,le64,7200,83.36
en,float,gt64,0,
en,server,all,7200,77.86
en,server,le64,7200,77.86
en,server,gt64,0,
es,float,all,8614,83.57
es,float,le64,8614,83.57
es,float,gt64,0,
es,server,all,8614,74.29
es,server,le64,8614,74.29
es,server,gt64,0,
fa,float,all,7245,88.47
fa,float,le64,7240,88.48
fa,float,gt64,5,80.0
fa,server,all,7245,82.88
fa,server,le64,7240,82.87
fa,server,gt64,5,100.0
fi,float,all,7127,61.33
fi,float,le64,7102,61.49
fi,float,gt64,25,16.0
fi,server,all,7127,58.02
fi,server,le64,7102,58.19
fi,server,gt64,25,8.0
fil,float,all,7109,33.25
fil,float,le64,7076,33.37
fil,float,gt64,33,9.09
fil,server,all,7109,31.96
fil,server,le64,7076,32.04
fil,server,gt64,33,15.15
fr,float,all,8562,92.58
fr,float,le64,8562,92.58
fr,float,gt64,0,
fr,server,all,8562,86.53
fr,server,le64,8562,86.53
fr,server,gt64,0,
he,float,all,7200,80.44
he,float,le64,6814,82.29
he,float,gt64,386,47.93
he,server,all,7200,74.1
he,server,le64,6814,75.79
he,server,gt64,386,44.3
hi,float,all,8503,40.9
hi,float,le64,8494,40.93
hi,float,gt64,9,11.11
hi,server,all,8503,43.38
hi,server,le64,8494,43.4
hi,server,gt64,9,33.33
hr,float,all,7280,68.08
hr,float,le64,7265,68.13
hr,float,gt64,15,40.0
hr,server,all,7280,63.06
hr,server,le64,7265,63.14
hr,server,gt64,15,26.67
hu,float,all,7216,71.72
hu,float,le64,7186,71.81
hu,float,gt64,30,50.0
hu,server,all,7216,64.88
hu,server,le64,7186,64.99
hu,server,gt64,30,40.0
id,float,all,7126,90.4
id,float,le64,7126,90.4
id,float,gt64,0,
id,server,all,7126,85.56
id,server,le64,7126,85.56
id,server,gt64,0,
it,float,all,8471,90.12
it,float,le64,8471,90.12
it,float,gt64,0,
it,server,all,8471,81.64
it,server,le64,8471,81.64
it,server,gt64,0,
ja,float,all,7185,80.6
ja,float,le64,7185,80.6
ja,float,gt64,0,
ja,server,all,7185,74.92
ja,server,le64,7185,74.92
ja,server,gt64,0,
ko,float,all,7650,88.89
ko,float,le64,7646,88.9
ko,float,gt64,4,75.0
ko,server,all,7650,83.8
ko,server,le64,7646,83.81
ko,server,gt64,4,75.0
mi,float,all,4732,1.06
mi,float,le64,4716,1.06
mi,float,gt64,16,0.0
mi,server,all,4732,1.48
mi,server,le64,4716,1.46
mi,server,gt64,16,6.25
nl,float,all,8059,79.55
nl,float,le64,8059,79.55
nl,float,gt64,0,
nl,server,all,8059,71.73
nl,server,le64,8059,71.73
nl,server,gt64,0,
no,float,all,7213,79.29
no,float,le64,7213,79.29
no,float,gt64,0,
no,server,all,7213,73.73
no,server,le64,7213,73.73
no,server,gt64,0,
pl,float,all,7141,82.44
pl,float,le64,7139,82.45
pl,float,gt64,2,50.0
pl,server,all,7141,76.19
pl,server,le64,7139,76.2
pl,server,gt64,2,50.0
pt,float,all,7243,84.43
pt,float,le64,7240,84.46
pt,float,gt64,3,0.0
pt,server,all,7243,75.11
pt,server,le64,7240,75.14
pt,server,gt64,3,0.0
quz,float,all,7200,8.22
quz,float,le64,7193,8.22
quz,float,gt64,7,14.29
quz,server,all,7200,7.69
quz,server,le64,7193,7.7
quz,server,gt64,7,0.0
ro,float,all,7123,74.95
ro,float,le64,6891,75.37
ro,float,gt64,232,62.5
ro,server,all,7123,67.28
ro,server,le64,6891,67.77
ro,server,gt64,232,52.59
ru,float,all,7200,90.97
ru,float,le64,7199,90.97
ru,float,gt64,1,100.0
ru,server,all,7200,84.01
ru,server,le64,7199,84.01
ru,server,gt64,1,100.0
sv,float,all,7273,79.18
sv,float,le64,7273,79.18
sv,float,gt64,0,
sv,server,all,7273,75.69
sv,server,le64,7273,75.69
sv,server,gt64,0,
sw,float,all,7046,14.62
sw,float,le64,7030,14.62
sw,float,gt64,16,12.5
sw,server,all,7046,13.87
sw,server,le64,7030,13.88
sw,server,gt64,16,6.25
te,float,all,7200,4.6
te,float,le64,7194,4.6
te,float,gt64,6,0.0
te,server,all,7200,6.17
te,server,le64,7194,6.16
te,server,gt64,6,16.67
th,float,all,7200,60.04
th,float,le64,7200,60.04
th,float,gt64,0,
th,server,all,7200,57.46
th,server,le64,7200,57.46
th,server,gt64,0,
tr,float,all,7233,80.02
tr,float,le64,7177,80.28
tr,float,gt64,56,46.43
tr,server,all,7233,73.47
tr,server,le64,7177,73.82
tr,server,gt64,56,28.57
uk,float,all,7215,77.51
uk,float,le64,7172,77.69
uk,float,gt64,43,46.51
uk,server,all,7215,71.19
uk,server,le64,7172,71.42
uk,server,gt64,43,32.56
vi,float,all,7350,90.97
vi,float,le64,7349,90.96
vi,float,gt64,1,100.0
vi,server,all,7350,86.99
vi,server,le64,7349,86.99
vi,server,gt64,1,100.0
zh,float,all,7174,81.92
zh,float,le64,7171,81.91
zh,float,gt64,3,100.0
zh,server,all,7174,76.3
zh,server,le64,7171,76.31
zh,server,gt64,3,66.67
