language,encoder,maxlen,R10
ar,"e5-small (C1, no-prefix)",64,32.02
ar,"e5-small (C1, no-prefix)",128,32.02
ar,"e5-small (C1, no-prefix)",256,32.02
bn,"e5-small (C1, no-prefix)",64,34.33
bn,"e5-small (C1, no-prefix)",128,34.33
bn,"e5-small (C1, no-prefix)",256,34.33
cs,"e5-small (C1, no-prefix)",64,27.5
cs,"e5-small (C1, no-prefix)",128,27.5
cs,"e5-small (C1, no-prefix)",256,27.5
da,"e5-small (C1, no-prefix)",64,36.67
da,"e5-small (C1, no-prefix)",128,36.67
da,"e5-small (C1, no-prefix)",256,36.67
de,"e5-small (C1, no-prefix)",64,46.4
de,"e5-small (C1, no-prefix)",128,46.4
de,"e5-small (C1, no-prefix)",256,46.4
el,"e5-small (C1, no-prefix)",64,24.53
el,"e5-small (C1, no-prefix)",128,24.54
el,"e5-small (C1, no-prefix)",256,24.54
en,"e5-small (C1, no-prefix)",64,59.15
en,"e5-small (C1, no-prefix)",128,59.15
en,"e5-small (C1, no-prefix)",256,59.15
es,"e5-small (C1, no-prefix)",64,44.25
es,"e5-small (C1, no-prefix)",128,44.25
es,"e5-small (C1, no-prefix)",256,44.25
fa,"e5-small (C1, no-prefix)",64,37.56
fa,"e5-small (C1, no-prefix)",128,37.56
fa,"e5-small (C1, no-prefix)",256,37.56
fi,"e5-small (C1, no-prefix)",64,20.51
fi,"e5-small (C1, no-prefix)",128,20.5
fi,"e5-small (C1, no-prefix)",256,20.5
fil,"e5-small (C1, no-prefix)",64,25.07
fil,"e5-small (C1, no-prefix)",128,25.09
fil,"e5-small (C1, no-prefix)",256,25.09
fr,"e5-small (C1, no-prefix)",64,49.93
fr,"e5-small (C1, no-prefix)",128,49.93
fr,"e5-small (C1, no-prefix)",256,49.93
he,"e5-small (C1, no-prefix)",64,24.54
he,"e5-small (C1, no-prefix)",128,24.57
he,"e5-small (C1, no-prefix)",256,24.57
hi,"e5-small (C1, no-prefix)",64,30.48
hi,"e5-small (C1, no-prefix)",128,30.48
hi,"e5-small (C1, no-prefix)",256,30.48
hr,"e5-small (C1, no-prefix)",64,34.0
hr,"e5-small (C1, no-prefix)",128,33.98
hr,"e5-small (C1, no-prefix)",256,33.98
hu,"e5-small (C1, no-prefix)",64,23.32
hu,"e5-small (C1, no-prefix)",128,23.32
hu,"e5-small (C1, no-prefix)",256,23.32
id,"e5-small (C1, no-prefix)",64,43.43
id,"e5-small (C1, no-prefix)",128,43.43
id,"e5-small (C1, no-prefix)",256,43.43
it,"e5-small (C1, no-prefix)",64,40.73
it,"e5-small (C1, no-prefix)",128,40.73
it,"e5-small (C1, no-prefix)",256,40.73
ja,"e5-small (C1, no-prefix)",64,42.34
ja,"e5-small (C1, no-prefix)",128,42.34
ja,"e5-small (C1, no-prefix)",256,42.34
ko,"e5-small (C1, no-prefix)",64,54.16
ko,"e5-small (C1, no-prefix)",128,54.16
ko,"e5-small (C1, no-prefix)",256,54.16
mi,"e5-small (C1, no-prefix)",64,5.52
mi,"e5-small (C1, no-prefix)",128,5.54
mi,"e5-small (C1, no-prefix)",256,5.54
nl,"e5-small (C1, no-prefix)",64,40.13
nl,"e5-small (C1, no-prefix)",128,40.13
nl,"e5-small (C1, no-prefix)",256,40.13
no,"e5-small (C1, no-prefix)",64,36.07
no,"e5-small (C1, no-prefix)",128,36.07
no,"e5-small (C1, no-prefix)",256,36.07
pl,"e5-small (C1, no-prefix)",64,36.21
pl,"e5-small (C1, no-prefix)",128,36.21
pl,"e5-small (C1, no-prefix)",256,36.21
pt,"e5-small (C1, no-prefix)",64,42.16
pt,"e5-small (C1, no-prefix)",128,42.18
pt,"e5-small (C1, no-prefix)",256,42.18
quz,"e5-small (C1, no-prefix)",64,5.32
quz,"e5-small (C1, no-prefix)",128,5.32
quz,"e5-small (C1, no-prefix)",256,5.32
ro,"e5-small (C1, no-prefix)",64,27.4
ro,"e5-small (C1, no-prefix)",128,27.31
ro,"e5-small (C1, no-prefix)",256,27.32
ru,"e5-small (C1, no-prefix)",64,43.6
ru,"e5-small (C1, no-prefix)",128,43.6
ru,"e5-small (C1, no-prefix)",256,43.6
sv,"e5-small (C1, no-prefix)",64,37.21
sv,"e5-small (C1, no-prefix)",128,37.21
sv,"e5-small (C1, no-prefix)",256,37.21
sw,"e5-small (C1, no-prefix)",64,16.43
sw,"e5-small (C1, no-prefix)",128,16.43
sw,"e5-small (C1, no-prefix)",256,16.43
te,"e5-small (C1, no-prefix)",64,26.29
te,"e5-small (C1, no-prefix)",128,26.29
te,"e5-small (C1, no-prefix)",256,26.29
th,"e5-small (C1, no-prefix)",64,39.44
th,"e5-small (C1, no-prefix)",128,39.44
th,"e5-small (C1, no-prefix)",256,39.44
tr,"e5-small (C1, no-prefix)",64,29.7
tr,"e5-small (C1, no-prefix)",128,29.75
tr,"e5-small (C1, no-prefix)",256,29.75
uk,"e5-small (C1, no-prefix)",64,31.31
uk,"e5-small (C1, no-prefix)",128,31.32
uk,"e5-small (C1, no-prefix)",256,31.32
vi,"e5-small (C1, no-prefix)",64,40.11
