lang,ceiling_lc,server_lc_R10,server_lc_mAP10,offline_best,offline_model,beats_backbone,beats_server
ar,83.63,77.25,51.8,56.77,MiniLM-L12-v2,False,False
bn,33.06,34.81,17.67,34.33,"e5-small (C1, no-prefix)",True,False
cs,82.78,80.2,54.46,58.0,MiniLM-L12-v2,False,False
da,89.62,84.02,62.04,64.59,MiniLM-L12-v2,False,False
de,96.54,92.63,73.54,66.55,MiniLM-L12-v2,False,False
el,74.68,71.38,47.33,55.52,MiniLM-L12-v2,False,False
en,88.35,81.69,57.67,68.69,MiniLM-L12-v2,False,False
es,93.45,87.82,64.94,60.29,MiniLM-L12-v2,False,False
fa,88.49,82.9,58.7,62.77,MiniLM-L12-v2,False,False
fi,74.67,69.93,45.74,60.5,MiniLM-L12-v2,False,False
fil,42.34,40.08,21.2,29.47,e5-base (query:),False,False
fr,96.06,91.46,70.63,66.75,MiniLM-L12-v2,False,False
he,80.49,74.17,49.7,64.07,MiniLM-L12-v2,False,False
hi,40.9,43.38,23.75,52.36,MiniLM-L12-v2,True,True
hr,80.96,77.38,52.95,64.35,MiniLM-L12-v2,False,False
hu,83.45,76.69,52.49,59.27,MiniLM-L12-v2,False,False
id,95.85,90.96,70.81,73.24,MiniLM-L12-v2,False,False
it,96.26,91.55,70.53,61.68,MiniLM-L12-v2,False,False
ja,80.65,74.91,50.06,68.7,MiniLM-L12-v2,False,False
ko,88.93,83.84,60.24,60.18,MiniLM-L12-v2,False,False
mi,1.5,1.71,0.63,7.23,e5-base (query:),True,True
nl,90.64,84.44,60.62,59.46,MiniLM-L12-v2,False,False
no,90.0,85.05,61.48,62.3,MiniLM-L12-v2,False,False
pl,91.63,86.15,63.25,62.43,MiniLM-L12-v2,False,False
pt,93.84,86.62,64.74,62.05,MiniLM-L12-v2,False,False
quz,10.17,8.68,3.74,6.14,e5-base (query:),False,False
ro,86.52,79.74,55.85,62.4,MiniLM-L12-v2,False,False
ru,96.65,91.33,70.78,69.88,MiniLM-L12-v2,False,False
sv,88.84,85.04,62.15,62.19,MiniLM-L12-v2,False,False
sw,21.96,22.01,10.14,20.38,e5-base (query:),False,False
te,4.6,6.17,2.37,28.39,e5-base (query:),True,True
th,60.92,57.94,33.63,69.47,MiniLM-L12-v2,True,True
tr,87.06,80.19,56.15,61.27,MiniLM-L12-v2,False,False
uk,88.09,82.29,58.84,63.62,MiniLM-L12-v2,False,False
vi,94.91,90.23,69.12,70.69,MiniLM-L12-v2,False,False
zh,81.96,76.33,51.44,71.41,MiniLM-L12-v2,False,False
AVG36,74.46,70.3,,,,,
