language,n_caps,gemma_avg,gemma_p95,gemma_max,gemma_pct_gt64,xlmr_avg,xlmr_p95,xlmr_max,xlmr_pct_gt64
ar,7367,16.7,30,78,0.0,16.2,29,66,0.0
bn,3600,36.4,49,83,0.3,22.4,30,54,0.0
cs,7207,14.2,34,90,0.3,14.2,33,87,0.2
da,7264,15.0,27,44,0.0,14.7,25,43,0.0
de,8643,18.1,26,71,0.1,20.6,30,83,0.1
el,7204,23.1,42,111,0.4,19.1,35,78,0.1
en,7200,11.6,19,32,0.0,14.7,24,40,0.0
es,8614,13.0,19,39,0.0,15.8,23,45,0.0
fa,7245,19.7,36,85,0.1,18.9,34,84,0.1
fi,7127,21.4,39,108,0.4,18.7,33,90,0.1
fil,7109,20.7,47,95,0.5,20.1,43,89,0.3
fr,8562,16.9,26,47,0.0,20.1,30,54,0.0
he,7200,28.9,66,209,5.4,24.7,54,177,2.7
hi,8503,25.9,42,77,0.1,21.5,34,61,0.0
hr,7280,20.4,40,89,0.2,18.8,35,72,0.1
hu,7216,21.4,42,141,0.4,19.2,36,110,0.1
id,7126,19.8,33,51,0.0,21.2,35,55,0.0
it,8471,17.5,27,48,0.0,20.0,30,56,0.0
ja,7185,16.0,32,55,0.0,20.6,39,76,0.0
ko,7650,19.1,32,85,0.1,17.8,29,73,0.0
mi,4732,20.1,38,110,0.3,21.7,40,110,0.6
nl,8059,12.5,22,45,0.0,13.6,23,46,0.0
no,7213,16.3,28,48,0.0,15.9,26,43,0.0
pl,7141,18.1,34,66,0.0,18.7,34,68,0.0
pt,7243,15.1,29,75,0.0,17.4,32,84,0.1
quz,7200,15.2,27,81,0.1,16.0,28,82,0.1
ro,7123,27.7,59,149,3.3,27.0,56,149,2.4
ru,7200,19.7,36,76,0.0,21.4,38,82,0.0
sv,7273,14.2,26,58,0.0,14.6,25,60,0.0
sw,7046,20.6,40,90,0.2,19.1,36,78,0.1
te,7200,27.7,42,69,0.1,16.5,25,41,0.0
th,7200,20.5,34,63,0.0,15.9,25,50,0.0
tr,7233,17.9,36,123,0.8,17.3,34,116,0.6
uk,7215,23.2,44,126,0.6,21.9,40,118,0.3
vi,7350,20.9,34,69,0.0,22.3,36,71,0.0
zh,7174,18.1,37,75,0.0,20.9,41,83,0.1
