model,space,path,dataset,lang,n_caps,R1,R5,R10,mAP10
NLLB+head,1bit,server,coco,en,5000,24.58,51.72,66.78,36.45
NLLB float,float,server,coco,en,5000,43.0,69.68,78.68,54.24
NLLB+head,1bit,server,coco,ko,5000,20.86,46.52,60.62,31.93
NLLB float,float,server,coco,ko,5000,35.38,61.58,71.72,46.55
NLLB+head,1bit,server,xm3600,de,8643,23.75,47.92,58.97,34.26
NLLB float,float,server,xm3600,de,8643,67.87,89.4,94.03,77.09
NLLB+head,1bit,server,xm3600,en,7200,18.72,40.44,51.31,28.1
NLLB float,float,server,xm3600,en,7200,49.97,76.43,84.36,61.26
NLLB+head,1bit,server,xm3600,hi,8503,14.5,33.87,44.13,22.81
NLLB float,float,server,xm3600,hi,8503,38.02,64.72,74.26,49.26
NLLB+head,1bit,server,xm3600,ko,7650,19.22,39.53,50.26,28.08
NLLB float,float,server,xm3600,ko,7650,54.07,79.18,86.67,64.72
NLLB+head,1bit,server,xm3600,te,7200,15.31,34.74,45.4,23.68
NLLB float,float,server,xm3600,te,7200,38.82,67.18,77.42,50.76
NLLB+head,1bit,server,xm3600,th,7200,19.06,40.9,51.78,28.51
NLLB float,float,server,xm3600,th,7200,55.53,80.65,87.72,66.14
NLLB+head,1bit,server,xm3600,avg36,,19.48,40.83,51.45,28.63
NLLB float,float,server,xm3600,avg36,,54.89,79.17,86.06,65.22
