absz_bin,emp_flip,gauss_pred,n
0.00133,0.13233,0.07643,345187
0.004,0.00124,1e-05,344125
0.00667,0.00018,0.0,339809
0.00934,2e-05,0.0,332217
0.01201,0.0,0.0,323283
0.01468,0.0,0.0,311552
0.01734,0.0,0.0,299458
0.02001,0.0,0.0,284419
0.02268,0.0,0.0,267978
0.02535,0.0,0.0,250686
0.02802,0.0,0.0,233694
0.03069,0.0,0.0,216413
0.03335,0.0,0.0,198136
0.03602,0.0,0.0,180272
0.03869,0.0,0.0,163286
0.04136,0.0,0.0,146232
0.04403,0.0,0.0,130011
0.0467,0.0,0.0,115734
0.04936,0.0,0.0,100941
0.05203,0.0,0.0,88233
0.0547,0.0,0.0,76239
0.05737,0.0,0.0,65381
0.06004,0.0,0.0,55157
0.06271,0.0,0.0,46576
0.06537,0.0,0.0,39430
0.06804,0.0,0.0,32859
0.07071,0.0,0.0,26998
0.07338,0.0,0.0,22176
0.07605,0.0,0.0,17898
0.07872,0.0,0.0,14419
