path,success,hmargin,diralign
ceiling,1,-29,0.26196
ceiling,1,35,0.27613
ceiling,1,110,0.32613
ceiling,0,-65,0.21965
ceiling,0,-61,0.12097
ceiling,1,-33,0.32091
ceiling,1,53,0.29427
ceiling,1,19,0.30522
ceiling,1,-8,0.30788
ceiling,0,-87,0.21149
ceiling,0,-112,0.19295
ceiling,1,-31,0.2711
ceiling,1,12,0.30695
ceiling,1,-70,0.24258
ceiling,1,77,0.29473
ceiling,1,-6,0.25546
ceiling,0,-90,0.12287
ceiling,1,54,0.28089
ceiling,0,-89,0.23844
ceiling,1,-68,0.27563
ceiling,1,-31,0.24859
ceiling,1,20,0.22195
ceiling,1,85,0.35567
ceiling,1,32,0.30688
ceiling,1,-9,0.24849
ceiling,1,6,0.22389
ceiling,1,-22,0.27085
ceiling,1,89,0.35886
ceiling,0,-37,0.22969
ceiling,1,9,0.29003
ceiling,0,-115,0.135
ceiling,1,120,0.32046
ceiling,0,-109,0.2066
ceiling,1,20,0.34824
ceiling,1,-3,0.25911
ceiling,1,34,0.32795
ceiling,1,6,0.29695
ceiling,0,-69,0.18267
ceiling,1,-13,0.31293
ceiling,1,-29,0.19594
ceiling,1,53,0.32864
ceiling,1,49,0.33231
ceiling,0,-115,0.18135
ceiling,1,24,0.31582
ceiling,1,36,0.30646
ceiling,1,-39,0.23309
ceiling,1,-6,0.3064
ceiling,1,86,0.30252
ceiling,1,-38,0.24546
ceiling,1,32,0.24412
ceiling,1,103,0.31996
ceiling,1,69,0.33001
ceiling,1,17,0.28336
ceiling,1,9,0.28389
ceiling,1,72,0.27651
ceiling,1,-57,0.25694
ceiling,1,-24,0.25058
ceiling,1,12,0.26916
ceiling,1,45,0.28637
ceiling,1,-22,0.31846
ceiling,1,99,0.36542
ceiling,1,-2,0.2562
ceiling,1,52,0.32209
ceiling,1,-69,0.16741
ceiling,1,-17,0.29073
ceiling,1,-57,0.27959
ceiling,1,15,0.29447
ceiling,1,-52,0.27172
ceiling,1,5,0.3183
ceiling,1,27,0.33969
ceiling,1,13,0.28501
ceiling,1,-28,0.28706
ceiling,1,-24,0.25147
ceiling,0,-250,0.08288
ceiling,1,-50,0.2473
ceiling,1,48,0.31039
ceiling,0,-63,0.21456
ceiling,1,-28,0.31822
ceiling,1,63,0.28596
ceiling,1,-16,0.27588
ceiling,1,-15,0.27216
ceiling,1,-26,0.27742
ceiling,1,90,0.33032
ceiling,1,6,0.31196
ceiling,1,13,0.31116
ceiling,0,-116,0.14166
ceiling,0,-69,0.25004
ceiling,1,114,0.27354
ceiling,1,-16,0.33332
ceiling,1,-31,0.2864
ceiling,1,0,0.28452
ceiling,1,-102,0.21289
ceiling,0,-72,0.23646
ceiling,1,23,0.30135
ceiling,1,48,0.33723
ceiling,1,-18,0.27606
ceiling,1,29,0.30815
ceiling,1,32,0.25496
ceiling,0,-83,0.15801
ceiling,1,56,0.31896
ceiling,1,89,0.37517
ceiling,1,-6,0.27874
ceiling,1,-46,0.26629
ceiling,1,71,0.33137
ceiling,1,-59,0.30351
ceiling,0,-123,-0.01063
ceiling,1,25,0.33248
ceiling,1,3,0.32643
ceiling,1,-17,0.27055
ceiling,0,-41,0.20744
ceiling,1,-34,0.28936
ceiling,1,-25,0.31107
ceiling,0,-82,0.22106
ceiling,1,-11,0.2986
ceiling,0,-97,0.23309
ceiling,0,-83,0.26391
ceiling,0,-59,0.24143
ceiling,1,38,0.27647
ceiling,1,-29,0.26733
ceiling,1,-21,0.24947
ceiling,1,-43,0.25783
ceiling,0,-92,0.15952
ceiling,1,22,0.29569
ceiling,1,5,0.23568
ceiling,1,75,0.30416
ceiling,1,76,0.33502
ceiling,0,-69,0.2461
ceiling,1,-6,0.29921
ceiling,1,-60,0.2516
ceiling,1,52,0.2889
ceiling,1,71,0.35426
ceiling,1,55,0.33985
ceiling,1,31,0.31426
ceiling,1,-60,0.29754
ceiling,1,-11,0.244
ceiling,0,-56,0.26281
ceiling,1,6,0.29114
ceiling,1,-62,0.21392
ceiling,1,52,0.30058
ceiling,1,43,0.3083
ceiling,1,-8,0.3194
ceiling,1,-11,0.28138
ceiling,1,-55,0.21881
ceiling,1,-22,0.27398
ceiling,1,-39,0.28674
ceiling,0,-99,0.13853
ceiling,1,-16,0.27229
ceiling,1,0,0.28501
ceiling,1,2,0.27455
ceiling,1,-52,0.24685
ceiling,1,1,0.32014
ceiling,1,4,0.30134
ceiling,1,-23,0.23279
ceiling,1,72,0.30179
ceiling,1,-40,0.29319
ceiling,1,-14,0.34155
ceiling,1,-18,0.33187
ceiling,1,-35,0.3287
ceiling,1,8,0.3003
ceiling,1,-5,0.32904
ceiling,1,-10,0.31471
ceiling,1,-22,0.28689
ceiling,1,-11,0.24962
ceiling,1,-76,0.24649
ceiling,1,13,0.29533
ceiling,1,38,0.26564
ceiling,0,-133,0.20634
ceiling,1,-21,0.30515
ceiling,1,85,0.3348
ceiling,1,-10,0.281
ceiling,1,8,0.23472
ceiling,1,13,0.31804
