axis,key,r10,upstream_effdim,code_entropy,code_rank,code_effrank,cosine,margin,diralign,parity,script
path,ceiling,79.92,76.68,1019.8,1024,97.35,0.147,0.02497,0.5426,,
path,distillation,70.86,41.95,1018.0,1024,87.29,0.1255,0.02495,0.5286,0.8691,
path,head-adapt,74.0,58.48,1022.3,1024,86.85,nan,0.02499,0.5268,0.8164,
lang,en,81.69,61.25,997.0,1024,79.44,0.1307,0.0249,0.5234,,latin
lang,ar,77.25,70.53,988.2,1024,84.27,0.1133,0.02495,0.4893,,non-latin
lang,bn,34.81,64.48,953.6,1024,76.15,0.0725,0.02495,0.3051,,non-latin
lang,cs,80.2,64.92,988.5,1024,82.92,0.1029,0.02493,0.5032,,latin
lang,da,84.02,66.7,991.1,1024,89.01,0.1328,0.02493,0.5104,,latin
lang,de,92.63,92.98,994.5,1024,86.37,0.1366,0.02492,0.5469,,latin
lang,el,71.38,79.99,988.5,1024,90.16,0.1066,0.02494,0.4577,,non-latin
lang,es,87.82,80.94,998.7,1024,82.85,0.111,0.02492,0.5318,,latin
lang,fa,82.9,59.37,975.7,1024,83.31,0.1,0.02494,0.5095,,non-latin
lang,fi,69.93,67.0,986.7,1024,87.75,0.1154,0.02495,0.4403,,latin
lang,fil,40.08,82.23,972.8,1024,78.24,0.0865,0.02497,0.3406,,latin
lang,fr,91.46,83.74,999.7,1024,84.3,0.1328,0.02492,0.5463,,latin
lang,he,74.17,81.67,989.9,1024,88.05,0.1134,0.02494,0.4682,,non-latin
lang,hi,43.38,71.31,958.4,1024,72.0,0.0853,0.02495,0.3694,,non-latin
lang,hr,77.38,76.48,993.4,1024,89.27,0.1201,0.02493,0.4822,,latin
lang,hu,76.69,77.16,990.3,1024,90.15,0.1191,0.02494,0.4678,,latin
lang,id,90.96,73.62,997.0,1024,84.96,0.1326,0.02493,0.5413,,latin
lang,it,91.55,82.72,994.6,1024,84.38,0.1233,0.02492,0.5379,,latin
lang,ja,74.91,80.36,987.8,1024,92.54,0.1159,0.02496,0.458,,non-latin
lang,ko,83.84,89.39,1004.3,1024,86.94,0.1157,0.02493,0.5197,,non-latin
lang,mi,1.71,37.3,668.1,1024,84.87,0.0455,0.02501,0.0247,,non-latin
lang,nl,84.44,65.26,988.6,1024,83.85,0.1174,0.02493,0.5174,,latin
lang,no,85.05,75.35,990.6,1024,85.44,0.127,0.02492,0.5124,,latin
lang,pl,86.15,80.39,985.0,1024,85.77,0.122,0.02493,0.5157,,latin
lang,pt,86.62,70.56,994.3,1024,85.9,0.1219,0.02492,0.5271,,latin
lang,quz,8.68,49.12,853.2,1024,87.14,0.0612,0.02495,0.1038,,latin
lang,ro,79.74,80.2,997.0,1024,85.42,0.1257,0.02495,0.4813,,latin
lang,ru,91.33,77.91,987.4,1024,87.17,0.1237,0.02492,0.5398,,non-latin
lang,sv,85.04,55.49,991.3,1024,87.11,0.1329,0.02492,0.5152,,latin
lang,sw,22.01,57.26,940.5,1024,71.86,0.074,0.025,0.2309,,latin
lang,te,6.17,51.11,808.4,1024,67.05,0.0282,0.02496,0.1124,,non-latin
lang,th,57.94,81.12,959.1,1024,84.53,0.0944,0.02496,0.406,,non-latin
lang,tr,80.19,80.35,990.4,1024,84.45,0.1184,0.02493,0.5007,,latin
lang,uk,82.29,72.2,988.7,1024,86.14,0.1175,0.02493,0.5024,,non-latin
lang,vi,90.23,72.07,996.4,1024,85.5,0.1209,0.02493,0.5349,,latin
lang,zh,76.33,83.45,991.5,1024,87.12,0.1223,0.02496,0.4608,,non-latin
