method,bit,direction,R1,R5,R10,mAP
LSH,16,I2T,0.06,0.44,0.98,0.54
LSH,16,T2I,0.06,0.52,0.96,0.55
ITQ,16,I2T,0.08,0.58,1.02,0.63
ITQ,16,T2I,0.1,0.5,1.0,0.6
LSH,64,I2T,0.58,2.22,4.12,1.99
LSH,64,T2I,0.76,3.38,5.64,2.58
ITQ,64,I2T,1.44,5.48,9.32,4.5
ITQ,64,T2I,1.88,7.2,11.92,5.72
LSH,256,I2T,4.12,12.28,17.72,8.96
LSH,256,T2I,5.98,15.84,22.88,11.74
ITQ,256,I2T,11.3,28.54,39.42,20.62
ITQ,256,T2I,14.56,35.94,48.52,25.59
LSH,1024,I2T,16.88,36.04,45.9,26.79
LSH,1024,T2I,26.22,48.2,59.36,37.17
ITQ,1024,I2T,27.94,51.16,61.54,39.13
ITQ,1024,T2I,35.16,60.32,71.26,47.18
