bit,direction,R1,R5,R10,mAP
8,I2T,1.5,6.86,13.34,5.59
8,T2I,1.42,7.34,13.94,5.59
16,I2T,7.26,22.76,32.68,15.68
16,T2I,7.76,22.14,32.82,15.67
32,I2T,16.28,38.82,52.28,27.84
32,T2I,16.04,39.18,52.06,27.66
64,I2T,25.52,53.3,67.34,38.78
64,T2I,25.76,53.3,66.86,38.99
128,I2T,33.36,62.3,74.2,46.77
128,T2I,33.02,61.78,73.96,46.31
256,I2T,37.5,66.98,77.88,51.04
256,T2I,38.24,66.08,77.48,51.2
512,I2T,40.58,69.02,79.26,53.54
512,T2I,39.9,68.2,78.72,52.88
1024,I2T,41.42,69.84,80.32,54.46
1024,T2I,41.64,68.98,79.92,54.21
