lang,nonlatin,n,cont_R1,cont_R5,cont_R10,bin1024_R1,bin1024_R5,bin1024_R10,bin256_R10,delta_R10
ar,1,7367,51.38,76.37,83.63,40.21,67.3,77.25,72.91,6.38
bn,1,3600,12.33,25.39,33.06,11.39,26.06,34.81,31.25,-1.75
cs,0,7207,50.48,74.86,82.78,42.58,70.49,80.2,76.01,2.58
da,0,7264,61.69,83.55,89.62,51.29,76.34,84.02,80.23,5.6
de,0,8643,76.64,93.72,96.54,63.57,87.16,92.63,89.33,3.91
el,1,7204,43.5,67.09,74.68,36.56,62.13,71.38,66.95,3.3
en,0,7200,58.14,81.78,88.35,46.51,72.68,81.69,78.39,6.66
es,0,8614,67.46,88.61,93.45,53.74,80.36,87.82,84.34,5.63
fa,1,7245,58.29,82.65,88.49,47.07,74.69,82.9,78.19,5.59
fi,0,7127,43.36,66.38,74.67,35.19,60.31,69.93,65.29,4.74
fil,0,7109,17.44,34.63,42.34,13.67,31.06,40.08,37.09,2.26
fr,0,8562,74.36,92.55,96.06,60.04,85.2,91.46,88.38,4.6
he,1,7200,48.19,72.58,80.49,38.65,64.67,74.17,69.11,6.32
hi,1,8503,16.02,32.41,40.9,16.09,33.86,43.38,39.13,-2.48
hr,0,7280,50.92,73.72,80.96,41.76,67.69,77.38,73.05,3.58
hu,0,7216,53.85,76.91,83.45,41.26,67.56,76.69,72.05,6.76
id,0,7126,71.93,91.65,95.85,60.27,84.96,90.96,88.24,4.89
it,0,8471,74.67,92.87,96.26,59.8,84.95,91.55,88.15,4.71
ja,1,7185,47.99,73.17,80.65,38.65,65.68,74.91,69.91,5.74
ko,1,7650,59.46,83.02,88.93,48.89,75.87,83.84,80.21,5.09
mi,0,4732,0.32,1.01,1.5,0.27,1.01,1.71,1.63,-0.21
nl,0,8059,61.94,85.02,90.64,49.22,75.77,84.44,80.1,6.2
no,0,7213,60.36,83.95,90.0,49.98,76.81,85.05,80.83,4.95
pl,0,7141,65.72,86.75,91.63,52.09,78.46,86.15,82.16,5.48
pt,0,7243,67.57,88.95,93.84,53.87,78.81,86.62,82.98,7.22
quz,0,7200,3.11,7.71,10.17,2.04,5.92,8.68,7.53,1.49
ro,0,7123,57.05,79.97,86.52,44.43,71.08,79.74,75.8,6.78
ru,1,7200,75.07,93.4,96.65,60.08,85.03,91.33,87.94,5.32
sv,0,7273,61.31,83.13,88.84,51.09,77.59,85.04,81.29,3.8
sw,0,7046,8.0,16.9,21.96,5.88,15.78,22.01,20.17,-0.05
te,1,7200,0.81,3.07,4.6,1.17,3.83,6.17,5.26,-1.57
th,1,7200,28.62,51.64,60.92,23.62,46.65,57.94,52.58,2.98
tr,0,7233,57.25,80.71,87.06,44.74,71.48,80.19,75.94,6.87
uk,1,7215,59.29,82.4,88.09,47.55,74.05,82.29,78.12,5.8
vi,0,7350,70.52,90.63,94.91,58.29,83.71,90.23,86.84,4.68
zh,1,7174,50.75,74.45,81.96,40.1,66.57,76.33,71.35,5.63
