path,bit,r10_continuous,r10_asym,r10_hamming,gap_cont_ham,gap_asym_ham,kendall_top100,spearman_top100,top10_overlap,gold_rank_shift_med
ceiling,64,80.42,74.7,66.52,13.9,8.18,0.449,0.598,0.52,1
ceiling,128,80.36,77.94,74.1,6.26,3.84,0.536,0.7,0.646,0
ceiling,256,80.48,79.38,77.6,2.88,1.78,0.619,0.787,0.738,0
ceiling,512,80.54,80.24,79.18,1.36,1.06,0.694,0.856,0.809,0
ceiling,1024,80.52,80.54,79.92,0.6,0.62,0.765,0.911,0.851,0
distillation,64,72.26,64.5,57.0,15.26,7.5,0.455,0.606,0.525,2
distillation,128,71.98,68.06,63.84,8.14,4.22,0.546,0.712,0.642,0
distillation,256,71.94,70.06,67.74,4.2,2.32,0.631,0.8,0.735,0
distillation,512,72.04,71.52,70.42,1.62,1.1,0.709,0.87,0.807,0
distillation,1024,72.08,71.86,70.86,1.22,1.0,0.771,0.915,0.847,0
head-adapt,64,74.48,67.24,58.46,16.02,8.78,0.449,0.598,0.512,2
head-adapt,128,74.8,70.98,66.96,7.84,4.02,0.54,0.705,0.632,1
head-adapt,256,74.98,73.48,70.74,4.24,2.74,0.627,0.796,0.718,0
head-adapt,512,74.94,74.14,73.14,1.8,1.0,0.699,0.86,0.792,0
head-adapt,1024,74.94,74.54,74.0,0.94,0.54,0.762,0.909,0.837,0
