gallery,method,impl,bytes_per_item,p50_ms,p95_ms,mean_ms,n_queries
5000,binary,wasm_simd,128,0.02432,0.02523,0.0239,19740
5000,binary,js_scalar,128,0.1766,0.18085,0.17713,2820
5000,int8,wasm_simd,128,0.02421,0.02547,0.02432,19080
5000,int8,js_scalar,128,0.40952,0.41905,0.40881,1260
5000,fp32,wasm_simd,256,0.03403,0.03529,0.03426,14280
5000,fp32,js_scalar,256,0.19302,0.19767,0.19271,2580
50000,binary,wasm_simd,128,0.235,0.2375,0.23521,2400
50000,binary,js_scalar,128,1.76,1.8,1.76633,300
50000,int8,wasm_simd,128,0.2325,0.24,0.23279,2400
50000,int8,js_scalar,128,4.05,4.2,4.03,120
50000,fp32,wasm_simd,256,0.33333,0.34074,0.3334,1620
50000,fp32,js_scalar,256,1.94,2,1.93733,300
100000,binary,wasm_simd,128,0.475,0.495,0.47242,1200
100000,binary,js_scalar,128,3.53333,3.66667,3.52056,180
100000,int8,wasm_simd,128,0.46667,0.49048,0.46921,1260
100000,int8,js_scalar,128,8.2,8.3,8.18667,60
100000,fp32,wasm_simd,256,0.66429,0.67857,0.66488,840
100000,fp32,js_scalar,256,3.83333,4,3.84333,180
