experiment,gallery,method,impl,phase,bytes_per_item,cpu_throttle,p50_ms,p95_ms,ns_per_item,ns_per_byte,inner_reps,n_queries
main,256,binary,wasm_simd,scan,128,1,0.000698,0.000732,2.727,0.0213,8738,436900
main,256,binary,wasm_simd,topk,128,1,0.001624,0.001705,6.343,0.0496,3695,184750
main,256,binary,js_scalar,scan,128,1,0.009335,0.009968,36.467,0.2849,632,31600
main,256,binary,js_scalar,topk,128,1,0.010316,0.011148,40.297,0.3148,601,30050
main,256,int8,wasm_simd,scan,128,1,0.000752,0.000778,2.937,0.0229,7580,379000
main,256,int8,wasm_simd,topk,128,1,0.001777,0.001836,6.942,0.0542,3376,168800
main,256,int8,js_scalar,scan,128,1,0.025373,0.028358,99.114,0.7743,201,10050
main,256,int8,js_scalar,topk,128,1,0.027083,0.029167,105.794,0.8265,240,12000
main,256,fp32,wasm_simd,scan,256,1,0.001219,0.001294,4.76,0.0186,5334,266700
main,256,fp32,wasm_simd,topk,256,1,0.002372,0.002523,9.266,0.0362,2656,132800
main,256,fp32,js_scalar,scan,256,1,0.011731,0.011923,45.823,0.179,520,26000
main,256,fp32,js_scalar,topk,256,1,0.012708,0.013125,49.642,0.1939,480,24000
main,256,fp16,js_scalar,scan,128,1,0.012444,0.012889,48.611,0.3798,450,22500
main,256,fp16,js_scalar,topk,128,1,0.013333,0.014444,52.083,0.4069,450,22500
main,1000,binary,wasm_simd,scan,128,1,0.002821,0.00296,2.821,0.022,2162,108100
main,1000,binary,wasm_simd,topk,128,1,0.005442,0.005734,5.442,0.0425,1029,51450
main,1000,binary,js_scalar,scan,128,1,0.038854,0.040127,38.854,0.3035,157,7850
main,1000,binary,js_scalar,topk,128,1,0.041497,0.044218,41.497,0.3242,147,7350
main,1000,int8,wasm_simd,scan,128,1,0.00314,0.003297,3.14,0.0245,1911,95550
main,1000,int8,wasm_simd,topk,128,1,0.006073,0.006283,6.073,0.0474,955,47750
main,1000,int8,js_scalar,scan,128,1,0.098333,0.105,98.333,0.7682,60,3000
main,1000,int8,js_scalar,topk,128,1,0.103226,0.11129,103.226,0.8065,62,3100
main,1000,fp32,wasm_simd,scan,256,1,0.004747,0.004827,4.747,0.0185,1243,62150
main,1000,fp32,wasm_simd,topk,256,1,0.007379,0.007761,7.379,0.0288,786,39300
main,1000,fp32,js_scalar,scan,256,1,0.045588,0.052206,45.588,0.1781,136,6800
main,1000,fp32,js_scalar,topk,256,1,0.047692,0.055385,47.692,0.1863,130,6500
main,1000,fp16,js_scalar,scan,128,1,0.048,0.0528,48,0.375,125,6250
main,1000,fp16,js_scalar,topk,128,1,0.051667,0.0575,51.667,0.4036,120,6000
main,5000,binary,wasm_simd,scan,128,1,0.013915,0.014387,2.783,0.0217,424,21200
main,5000,binary,wasm_simd,topk,128,1,0.023695,0.0249,4.739,0.037,249,12450
main,5000,binary,js_scalar,scan,128,1,0.185294,0.197059,37.059,0.2895,34,1700
main,5000,binary,js_scalar,topk,128,1,0.193548,0.206452,38.71,0.3024,31,1550
main,5000,int8,wasm_simd,scan,128,1,0.014699,0.015181,2.94,0.023,415,20750
main,5000,int8,wasm_simd,topk,128,1,0.025738,0.027004,5.148,0.0402,237,11850
